ticker_code,source
PRAA,grahamvalue
HGBL,grahamvalue
GRF,grahamvalue
CLWT,grahamvalue
JAKK,grahamvalue
ADX,grahamvalue
SDHC,grahamvalue
TWIN,grahamvalue
BOWN,grahamvalue
KE,grahamvalue
NOV,grahamvalue
INGM,grahamvalue
ARW,grahamvalue
BOWNU,grahamvalue
MTUS,grahamvalue
USNA,grahamvalue
STRS,grahamvalue
TMHC,grahamvalue
CMT,grahamvalue
FRD,grahamvalue
TNK,grahamvalue
AVT,grahamvalue
FUND,grahamvalue
HCC,grahamvalue
HDSN,grahamvalue
BFH,grahamvalue
HKD,grahamvalue
RCKY,grahamvalue
BXC,grahamvalue
AMR,grahamvalue
MXF,grahamvalue
NSYS,grahamvalue
GSM,grahamvalue
PRT,grahamvalue
WB,grahamvalue
CRWS,grahamvalue
MOV,grahamvalue
SD,grahamvalue
ZEUS,grahamvalue
MCVT,grahamvalue
CVGI,grahamvalue
ASC,grahamvalue
TITN,grahamvalue
BOWNR,grahamvalue
TAL,grahamvalue
AEHR,finviz
ALAR,finviz
BTCS,finviz
CGTL,finviz
CLIK,finviz
CRT,finviz
FTLF,finviz
GLXG,finviz
GMM,finviz
HTCR,finviz
IDR,finviz
JFIN,finviz
JXG,finviz
KPRX,finviz
MASK,finviz
MNDO,finviz
MPTI,finviz
MSGM,finviz
MTR,finviz
MVO,finviz
KGEI,wallstreetzen
GASS,wallstreetzen
FEIM,wallstreetzen
TOYO,wallstreetzen
ISSC,wallstreetzen
TAYD,wallstreetzen
ELTK,wallstreetzen
NCSM,wallstreetzen
ICMB,wallstreetzen
NXTT,wallstreetzen
