ticker,interest_expense_operating,operating_expenses,selling_general_and_administrative_expenses,research_and_development,diluted_earnings_per_share,revenues,diluted_average_shares,participating_securities_distributed_and_undistributed_earnings_loss_basic,operating_income_loss,basic_average_shares,cost_of_revenue,net_income_loss_attributable_to_noncontrolling_interest,nonoperating_income_loss,income_loss_from_continuing_operations_after_tax,net_income_loss,gross_profit,benefits_costs_expenses,income_loss_from_discontinued_operations_net_of_tax,costs_and_expenses,preferred_stock_dividends_and_other_adjustments,net_income_loss_available_to_common_stockholders_basic,income_tax_expense_benefit,net_income_loss_attributable_to_parent,basic_earnings_per_share,income_loss_from_continuing_operations_before_tax
HZO,38546000.0,610976000.0,610976000.0,No Data,5.9399999999999995,2336875000.0,44639007.0,0,217405000.0,43634140.0,1508494000.0,98000,No Data,132599000.0,132599000.0,828381000.0,2158016000.0,No Data,2158016000.0,0,132501000.0,46260000.0,132501000.0,6.089999999999998,178859000.0
CMBM,2355000.0,131018000.0,No Data,53295000.0,-0.53,264496000.0,56020288.0,0,-9788000.0,55070548.0,143266000.0,0,No Data,-14555000.0,-14555000.0,121230000.0,276935000.0,No Data,276935000.0,0,-14555000.0,2116000.0,-14555000.0,-0.52,-12439000.0
FGI,904954,27526795.0,No Data,1233417.0,0.18000000000000002,126686468.0,28766220.0,0,3249231.0,28555396.0,95910442.0,0,-913307,1764303.0,1764303.0,30776026.0,124350544.0,No Data,124350544.0,0,1764303.0,571621,1764303.0,0.18000000000000002,2335924.0
LGIH,0,286376000.0,No Data,No Data,7.680000000000001,2238428000.0,23621779.0,0,214217000.0,23496628.0,1737835000.0,0,No Data,181253000.0,181253000.0,500593000.0,1998369000.0,No Data,1998369000.0,0,181253000.0,58806000.0,181253000.0,7.720000000000001,240059000.0
FNB,522000000.0,1148000000.0,No Data,No Data,1.5699999999999998,1849000000.0,1090600967.0,8000000.0,701000000.0,1082938910.0,No Data,0,No Data,573000000.0,573000000.0,No Data,1148000000.0,No Data,1148000000.0,8000000.0,565000000.0,128000000.0,573000000.0,1.58,701000000.0
LEGH,423000,25580000.0,24947000.0,No Data,2.6500000000000004,238369000.0,75376486.0,0,75144000.0,73162567.0,137645000.0,0,4078000.0,65716000.0,65716000.0,100724000.0,159147000.0,No Data,159147000.0,0,65716000.0,13506000.0,65716000.0,2.7,79222000.0
PATI,18000,90263000.0,10093000.0,No Data,0.73,93450000.0,7170000.0,0,3187000.0,7037000.0,No Data,0,No Data,2617000.0,2617000.0,No Data,90008000.0,No Data,90263000.0,0,2617000.0,825000,2617000.0,0.7400000000000002,3442000.0
HIMX,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
GAU,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
PLUG,41101000.0,563041000.0,392257000.0,111347000.0,-1.43,879838000.0,1766800905.0,0,-837121000.0,1766800905.0,1153918000.0,0,No Data,-837182000.0,-837182000.0,-274080000.0,1718377000.0,No Data,1718377000.0,0,-837182000.0,-1357000.0,-837182000.0,-1.43,-838539000.0
LGIH,0,286376000.0,No Data,No Data,7.680000000000001,2238428000.0,23621779.0,0,214217000.0,23496628.0,1737835000.0,0,No Data,181253000.0,181253000.0,500593000.0,1998369000.0,No Data,1998369000.0,0,181253000.0,58806000.0,181253000.0,7.720000000000001,240059000.0
GUKYF,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
