Ticker,net_cash_flow_from_financing_activities,net_cash_flow_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_investing_activities,net_cash_flow_from_operating_activities,net_cash_flow,current_assets,other_current_assets,equity,equity_attributable_to_noncontrolling_interest,fixed_assets,long_term_debt,noncurrent_liabilities,liabilities_and_equity,noncurrent_assets,inventory,assets,liabilities,equity_attributable_to_parent,current_liabilities,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,costs_and_expenses,net_income_loss_attributable_to_parent,income_loss_from_continuing_operations_before_tax,net_income_loss_available_to_common_stockholders_basic,diluted_average_shares,nonoperating_income_loss,basic_earnings_per_share,diluted_earnings_per_share,cost_of_revenue,income_loss_from_equity_method_investments,income_loss_before_equity_method_investments,basic_average_shares,gross_profit,preferred_stock_dividends_and_other_adjustments,net_income_loss_attributable_to_noncontrolling_interest,net_income_loss,income_loss_from_continuing_operations_after_tax,benefits_costs_expenses,participating_securities_distributed_and_undistributed_earnings_loss_basic,income_tax_expense_benefit,selling_general_and_administrative_expenses,revenues,depreciation_and_amortization,operating_expenses,income_tax_expense_benefit_deferred,operating_income_loss,other_operating_expenses,other_noncurrent_assets,intangible_assets,long_term_investments,accounts_payable,prepaid_expenses,other_current_liabilities,other_comprehensive_income_loss_attributable_to_parent,exchange_gains_losses,other_noncurrent_liabilities,wages,common_stock_dividends,income_loss_from_discontinued_operations_net_of_tax,income_tax_expense_benefit_current,research_and_development,interest_expense_operating,interest_income_expense_after_provision_for_losses,interest_income_expense_operating_net,provision_for_loan_lease_and_other_losses,undistributed_earnings_loss_allocated_to_participating_securities_basic,accounts_receivable,redeemable_noncontrolling_interest_common,redeemable_noncontrolling_interest,temporary_equity_attributable_to_parent,temporary_equity,cost_of_revenue_goods,interest_and_debt_expense,net_cash_flow_from_financing_activities_discontinued,net_cash_flow_from_investing_activities_discontinued,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,commitments_and_contingencies,interest_and_dividend_income_operating,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
BOWNR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,296999,271847,N/A,N/A,N/A,N/A,0,74534486,74237487,N/A,74534486,284120,N/A,284120,825358,825358,0,0,N/A,825358,825358,825358,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,825358,825358,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,-127429,N/A,N/A,N/A,N/A,N/A,25152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74237487,74237487,74237487,148474974,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2381,N/A,0,Infinity,0,NaN,0,NaN,1.0453294382655216,25152,1.1073504954471678,0,0,NaN,0,,N/A,NaN,N/A,N/A,N/A,120668,EQUITY,28731.0508,N/A,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3
SCSC,-118822000,72190000,-62520000,-118822000,253532000,-62520000,253532000,72190000,1283765000,791787000,900662000,0,30152000,N/A,192244000,1702529000,418764000,491978000,1702529000,801867000,900662000,609623000,26875000,23816000,0,6842000,2938469000,62929000,83320000,62929000,74231000,N/A,2.59,2.54,2626652000,N/A,N/A,72864000,395137000,0,0,62929000,62929000,2938469000,0,20391000,280698000,3021789000,29136000,319651000,N/A,75486000,9816000,315921000,72691000,N/A,520408000,N/A,89215000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.42,23463543,0.13076260453658411,2.082508077168856,14.73228346456693,0.9748449241335817,0.8903084619979527,878005779.0600001,2.1058342615026007,0,3.69620723053763,6.986971805183298,6.986971805183298,0,24.473115698511762,1.432,N/A,878005779.0600001,0.2905582683172121,Technology,Electronics & Computer Distribution,123268,EQUITY,4612688.5600000005,6.79%,0,0,0,0,1,-10,1,0,0,0,1,1,0,0,8,2
AVT,-1169145000,-79991000,-128557000,-1169145000,1217711000,-128557000,1217711000,-79991000,10072356000,4819890000,4843903000,0,564348000,N/A,2892968000,11942931000,1870575000,5252466000,11942931000,7099028000,4843903000,4206060000,144175000,-23148000,0,-82104000,22115810000,317709000,368293000,317709000,179877000,N/A,3.57,3.5300000000000002,19968532000,N/A,N/A,177740000,2515571000,0,0,317709000,317709000,22115810000,0,50584000,1793269000,22484103000,80893000,1863679000,N/A,651892000,N/A,1306227000,N/A,N/A,3626333000,N/A,579727000,-173534000,N/A,N/A,N/A,1.28,N/A,N/A,N/A,N/A,N/A,N/A,11723000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.21,86504562,0.11188220406213226,1.4130383587017012,14.507082152974503,0.9145308277271448,1.4655594878757894,4429898620.02,2.394724754283106,0,2.6602263715665777,6.558946370313361,6.558946370313361,0,13.734716652230697,1.145,N/A,4429898620.02,0.1970235868435579,Technology,Electronics & Computer Distribution,721471,EQUITY,36946529.910000004,6.89%,0,0,0,0,1,-10,1,0,0,0,1,1,0,0,8,2
TITN,89277000,-45897000,-128760000,89277000,-6414000,-128760000,-6414000,-46561000,1596699000,43316000,668200000,0,N/A,140634000,229176000,2109403000,512704000,1413088000,2109403000,1441203000,668200000,1212027000,39237000,39237000,0,-80054000,2751967000,30812000,42368000,30286000,22605000,N/A,1.3499999999999999,1.3499999999999999,2308671000,N/A,N/A,22603000,485662000,403000,0,30812000,30812000,2751967000,526000,11554000,N/A,2794333000,N/A,393414000,3638000,90511000,N/A,460630000,52074000,N/A,44689000,N/A,1167338000,N/A,-664000,88542000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,140295000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.18,23125692,0.17380247808689944,1.1026602770679084,13.466666666666669,0.6291904827297216,2.156843759353487,420425080.56,1.3173790682880826,0,1.4606976476282625,4.611194253217599,3.8094343215047837,0,27.270581570996978,1.315,N/A,561059080.56,0.2007846167797467,Industrials,Industrial Distribution,171729,EQUITY,3122033.2199999997,7.43%,0,0,0,0,1,-10,0,0,0,0,1,1,0,0,9,2
HGBL,-6910000,1988000,3374000,-6910000,5524000,3374000,5524000,1988000,36961000,32240000,66127000,0,1692000,N/A,1681000,88528000,51567000,4721000,88528000,22401000,66127000,20720000,1089000,1089000,0,0,9031000,1089000,1496000,1089000,37189029,N/A,0.03,0.03,N/A,100000,1396000,36576931,N/A,0,0,1089000,1089000,8914000,0,407000,5686000,10410000,152000,8931000,419000,1479000,3093000,14415000,3460000,32000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.24,36343561,0,10.461095100864554,74.66666666666667,1.2311094808474603,0.33875723985663947,81409576.64,1.7838320463320463,0,1.2301192842942346,1.6468310977361744,1.6468310977361744,NaN,27.205882352941174,1.165,N/A,81409576.64,7.820324365033621,Financial Services,Capital Markets,32977,EQUITY,73868.48000000001,1.34%,0,0,1,0,0,0,1,0,0,0,0,1,0,1,-3,1
ARW,-956827000,79144000,-94442000,-956827000,1130413000,-94442000,1130413000,79144000,18401413000,13691707000,5831528000,70377000,469260000,N/A,3290017000,21757707000,3356294000,4709706000,21757707000,15926179000,5761151000,12636162000,180844000,179519000,-1325000,-213988000,2523851000,392074000,489319000,392074000,53797000,N/A,7.36,7.29,24630916000,1368000,487951000,53282000,3292408000,0,1433000,393507000,393507000,27434005000,0,95812000,2217940000,27923324000,N/A,2523851000,-99866000,768557000,305911000,2790328000,96706000,N/A,11047470000,N/A,1588692000,-211230000,N/A,N/A,N/A,N/A,N/A,195678000,N/A,N/A,-269834000,-269834000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109.12,52172303,0.11790888505967269,1.4092412493584217,14.968449931412895,0.9762521423818937,2.7310473344207558,5693041703.360001,1.4562501652004778,0,1.8085867228564114,6.747922671382184,6.747922671382184,0,19.580682540428636,1.256,N/A,5693041703.360001,0.20388123216849113,Technology,Electronics & Computer Distribution,431226,EQUITY,47055381.120000005,6.68%,0,0,0,0,1,-10,0,0,0,0,1,1,0,0,8,1
MOV,-36043000,-21875000,-14615000,-36043000,28783000,-14615000,28783000,-21875000,520187000,351258000,506424000,2841000,20480000,N/A,137626000,765876000,245689000,168929000,765876000,259452000,503583000,121826000,32347000,33360000,1013000,8596000,625109000,23807000,33220000,23807000,45224000,N/A,1.07,1.04,301278000,N/A,N/A,44560000,357051000,0,957000,24764000,24764000,625109000,0,8456000,330694000,658329000,9326000,330694000,N/A,26357000,N/A,225209000,N/A,N/A,29429000,N/A,79856000,N/A,N/A,N/A,12541000,N/A,N/A,N/A,N/A,508000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.48,22142856,0.5423595193284817,3.7616450133595816,18.73076923076923,0.8517424823468082,0.5123216909151225,431342834.88,4.269917751547289,0,3.2334215982743943,4.889973618943809,4.889973618943809,0,25.454545454545453,1.031,N/A,431342834.88,0.6552086189124283,Consumer Cyclical,Luxury Goods,108830,EQUITY,2120008.4,5.34%,1,1,0,0,1,-10,1,0,0,0,1,1,0,0,5,1
MPTI,216000,1989000,-478000,216000,2251000,-478000,2251000,1989000,24656000,15103000,26220000,0,4887000,N/A,9000,31516000,6860000,9553000,31516000,5296000,26220000,5287000,2267000,2267000,0,0,10293000,2267000,3008000,2267000,2800820,87000,0.82,0.81,N/A,N/A,N/A,2751924,N/A,0,0,2267000,2267000,10206000,0,741000,N/A,13214000,N/A,10293000,49000,2921000,9579000,1933000,40000,N/A,1225000,N/A,1277000,N/A,N/A,N/A,2785000,N/A,N/A,N/A,714000,N/A,63000,63000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.14,2911165,0,17.156046617224156,61.901234567901234,5.5669646491228075,0.20198321891685736,145965813.1,4.663514280310195,0,7.193171722299785,8.646071700991609,8.646071700991609,Infinity,24.6343085106383,1.188,N/A,145965813.1,11.046300370818829,Technology,Electronic Components,35683,EQUITY,1789145.62,1.62%,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-2,1
HGBL,-6910000,1988000,3374000,-6910000,5524000,3374000,5524000,1988000,36961000,32240000,66127000,0,1692000,N/A,1681000,88528000,51567000,4721000,88528000,22401000,66127000,20720000,1089000,1089000,0,0,9031000,1089000,1496000,1089000,37189029,N/A,0.03,0.03,N/A,100000,1396000,36576931,N/A,0,0,1089000,1089000,8914000,0,407000,5686000,10410000,152000,8931000,419000,1479000,3093000,14415000,3460000,32000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.24,36343561,0,10.461095100864554,74.66666666666667,1.2311094808474603,0.33875723985663947,81409576.64,1.7838320463320463,0,1.2301192842942346,1.6468310977361744,1.6468310977361744,NaN,27.205882352941174,1.165,N/A,81409576.64,7.820324365033621,Financial Services,Capital Markets,32977,EQUITY,73868.48000000001,1.34%,0,0,1,0,0,0,1,0,0,0,0,1,0,1,-3,1
SMP,-46283000,-1477000,-44761000,-46283000,89567000,-44761000,89567000,-1477000,793209000,272351000,653444000,14611000,138490000,142848000,344577000,1350541000,557332000,520858000,1350541000,697097000,638833000,352520000,36776000,37707000,931000,739000,1330333000,36131000,80920000,36131000,22188654,N/A,1.6500000000000001,1.6300000000000001,1007388000,3409000,79581000,21842642,403865000,0,837000,36968000,62490000,1330333000,0,18430000,310148000,1411253000,N/A,317174000,N/A,86691000,7026000,333005000,85837000,N/A,112404000,N/A,203066000,N/A,N/A,201729000,37050000,N/A,-25522000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.72,21721825,0.28617476809615283,2.619516132118054,18.846625766871163,1.021196099436218,1.0668045004621667,667294464,2.250110632020878,0,2.737273433387065,5.657409051119912,7.847623736016436,0,22.77558082056352,0.515,N/A,810142464,0.5740589844627434,Consumer Cyclical,Auto Parts,71952,EQUITY,2210365.44,5.31%,1,0,0,0,1,-10,1,0,0,0,1,1,0,0,5,0
