Ticker,net_cash_flow_from_financing_activities,net_cash_flow_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow_from_investing_activities,net_cash_flow_from_operating_activities,net_cash_flow,current_assets,other_current_assets,equity,equity_attributable_to_noncontrolling_interest,fixed_assets,long_term_debt,noncurrent_liabilities,liabilities_and_equity,noncurrent_assets,inventory,assets,liabilities,equity_attributable_to_parent,current_liabilities,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,costs_and_expenses,net_income_loss_attributable_to_parent,income_loss_from_continuing_operations_before_tax,net_income_loss_available_to_common_stockholders_basic,diluted_average_shares,nonoperating_income_loss,basic_earnings_per_share,diluted_earnings_per_share,cost_of_revenue,income_loss_from_equity_method_investments,income_loss_before_equity_method_investments,basic_average_shares,gross_profit,preferred_stock_dividends_and_other_adjustments,net_income_loss_attributable_to_noncontrolling_interest,net_income_loss,income_loss_from_continuing_operations_after_tax,benefits_costs_expenses,participating_securities_distributed_and_undistributed_earnings_loss_basic,income_tax_expense_benefit,selling_general_and_administrative_expenses,revenues,depreciation_and_amortization,operating_expenses,income_tax_expense_benefit_deferred,operating_income_loss,other_operating_expenses,other_noncurrent_assets,intangible_assets,long_term_investments,accounts_payable,prepaid_expenses,other_current_liabilities,other_comprehensive_income_loss_attributable_to_parent,exchange_gains_losses,other_noncurrent_liabilities,wages,common_stock_dividends,income_loss_from_discontinued_operations_net_of_tax,income_tax_expense_benefit_current,research_and_development,interest_expense_operating,interest_income_expense_after_provision_for_losses,interest_income_expense_operating_net,provision_for_loan_lease_and_other_losses,undistributed_earnings_loss_allocated_to_participating_securities_basic,accounts_receivable,redeemable_noncontrolling_interest_common,redeemable_noncontrolling_interest,temporary_equity_attributable_to_parent,temporary_equity,cost_of_revenue_goods,interest_and_debt_expense,net_cash_flow_from_financing_activities_discontinued,net_cash_flow_from_investing_activities_discontinued,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,commitments_and_contingencies,interest_and_dividend_income_operating,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
STRS,23378000,-16054000,-25076000,23378000,-14356000,-25076000,-14356000,-16054000,523180000,N/A,300135000,103768000,N/A,N/A,0,523180000,0,N/A,523180000,223045000,196367000,223045000,-2189000,-2189000,0,919000,51583000,1602000,-2552000,1602000,8189000,N/A,0.1999999999999999,0.1899999999999999,38345000,75000,-2552000,24181000,9812000,0,-3791000,-2189000,-2189000,50709000,0,-288000,N/A,48157000,N/A,13238000,N/A,-3426000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.9,8086201,0.2037502336108977,-4.545548933696035,104.73684210526321,0.5361434018025222,0.7431489163209889,160915399.89999998,2.3456253222443904,523180000,-0.4184028441454184,-0.7293384643577057,-0.7293384643577057,0,11.285266457680251,1.257,N/A,-362264600.1,-7.522574082687876,Real Estate,Real Estate - Diversified,3950,EQUITY,78605,0.95%,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-4,0
HDSN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-167729000,N/A,30504000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38297000,-167729000,N/A,N/A,N/A,-137225000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.84,45510925,0,0,0,Infinity,0,265783802,0,0,0,0,0,NaN,0,1.086,N/A,265783802,N/A,Basic Materials,Specialty Chemicals,304453,EQUITY,1778005.52,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,-4515000,-117211000,-133543000,-4515000,20847000,-133543000,20847000,-117211000,125571000,124685000,446757000,0,N/A,N/A,59728000,565240000,439669000,N/A,565240000,118483000,446757000,58755000,25484000,25484000,0,0,21565000,25484000,10045000,25484000,37180000,1553000,0.69,0.69,N/A,N/A,N/A,37134000,N/A,0,0,25484000,25484000,20012000,0,-15439000,N/A,30057000,N/A,21565000,N/A,8492000,N/A,N/A,N/A,N/A,N/A,886000,55465000,N/A,N/A,N/A,3290000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.15,37213798,0,84.78557407592241,17.608695652173914,1.0120661695284014,0.26520681265206814,452147645.7,2.1371968343119736,886000,4.508527351213644,5.704219519783686,5.704219519783686,NaN,-153.69835739173718,2.044,N/A,451261645.7,15.013529151279236,Energy,Oil & Gas E&P,148248,EQUITY,1801213.2,5.68%,0,0,1,1,1,-10,1,0,0,0,0,0,0,0,6,0
ZEUS,-7065000,2025000,-64184000,-7065000,73274000,-64184000,73274000,2025000,622408000,223014000,570610000,0,192856000,197276000,264453000,1012011000,389603000,399394000,1012011000,441401000,570610000,176948000,25630000,25630000,0,25630000,1960148000,26499000,36161000,26499000,35027000,N/A,2.2800000000000002,2.2800000000000002,N/A,N/A,N/A,35025000,N/A,0,0,26499000,26499000,1976135000,0,9662000,N/A,2012296000,29379000,1960148000,N/A,52148000,1930769000,107405000,89342000,N/A,125342000,N/A,28240000,N/A,N/A,67177000,23366000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15910000,N/A,N/A,N/A,N/A,N/A,N/A,35.35,11132542,0,1.316853981720383,15.504385964912279,0.6896748386814111,0.7735598745202502,393535359.7,3.517462757420259,0,2.6184497994587015,4.643977497765549,3.450902868394527,NaN,26.719393822073506,1.516,N/A,590811359.7,0.293600623218453,Basic Materials,Steel,63058,EQUITY,2229100.3000000003,6.45%,0,0,0,0,1,-10,1,0,0,0,0,1,0,0,7,0
TMHC,-102359000,8520000,-25010000,-102359000,135889000,-25010000,135889000,8520000,9300436000,4907898000,5723462000,0,322483000,2143223000,0,9300436000,0,4392538000,9300436000,3576974000,5723462000,3576974000,251472000,251472000,0,0,0,251126000,2120842000,251126000,106089000,256000,2.41,2.37,1589773000,707000,2120135000,104132000,531069000,0,346000,251472000,251472000,0,0,81219000,199341000,2120842000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.18,103477894,0.25040479205900296,11.857177479510495,27.08016877637131,1.1603486206285638,0.6249668469887631,6641211236.920001,2.60008487621101,0,2.7038732377707886,4.393704369837696,3.196670516233966,0,3.829563918481433,2.032,N/A,8784434236.920002,4.141955995269804,Consumer Cyclical,Residential Construction,1156444,EQUITY,74220575.92,3.69%,1,0,1,0,0,-10,1,0,0,0,1,0,0,0,2,-4
PRAA,374122000,18231000,-239104000,374122000,-116787000,-239104000,-116787000,24014000,4936070000,N/A,1281792000,62910000,31835000,N/A,0,4936070000,0,N/A,4936070000,3654278000,1218882000,3654278000,92033000,103943000,11910000,44014000,973181000,43363000,69529000,43363000,39517000,N/A,1.11,1.1,N/A,N/A,N/A,39375000,N/A,0,16566000,59929000,59929000,973181000,0,9600000,N/A,1042710000,10858000,751585000,N/A,291125000,740727000,N/A,N/A,N/A,N/A,N/A,N/A,48669000,5783000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.67,39426698,0,5.7474273767394575,21.51818181818182,0.7280665986837178,2.850913408727781,933229941.6600001,1.350764774874818,4936070000,1.2141035277052392,4.675407554423806,4.675407554423806,NaN,13.807188367443802,1.487,N/A,-4002840058.34,-3.8388814323637446,Financial Services,Credit Services,117647,EQUITY,2784704.49,4.65%,0,0,0,0,1,-10,0,0,0,0,0,1,0,0,4,-4
KE,-57965000,17932000,-29993000,-57965000,105890000,-29993000,105890000,17932000,782694000,183386000,547758000,0,275674000,N/A,257571000,1149056000,366362000,335272000,1149056000,601298000,547758000,343727000,18923000,18923000,0,6012000,1635813000,12911000,14872000,12890000,75579000,N/A,0.52,0.51,1522370000,N/A,N/A,75186000,128315000,21000,0,12911000,12911000,1635813000,42000,1961000,64001000,1650685000,N/A,89413000,N/A,38902000,N/A,90688000,N/A,N/A,216704000,N/A,127023000,6012000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22184000,N/A,N/A,N/A,21000,264036000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.08,24554663,0.07773439511475538,0.7821601335203263,33.49019607843137,0.7656549863991031,1.097743894201454,419393644.03999996,2.277080357376639,0,1.1236179959897517,2.357062790502375,2.357062790502375,0,13.185852608929533,1.244,N/A,419393644.03999996,0.25407248750670175,Industrials,Electrical Equipment & Parts,57080,EQUITY,974926.3999999999,2.99%,0,0,0,0,0,-10,1,0,0,0,1,1,0,1,0,-6
BXC,-58390000,56498000,-27107000,-58390000,141995000,-27107000,141995000,56498000,1181371000,562781000,655589000,0,N/A,N/A,697766000,1611079000,429708000,340541000,1611079000,955490000,655589000,257724000,60465000,60465000,0,60465000,2898723000,29720000,55701000,29720000,17174378,N/A,3.5700000000000007,3.54,2460201000,N/A,N/A,17114547,494223000,0,0,29720000,29720000,2898723000,0,25981000,357454000,2954424000,N/A,391498000,8589000,102725000,34044000,401874000,27834000,N/A,186319000,N/A,71405000,30745000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,278049000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,101.82,8380695,0.1672823535145937,1.005949044551493,28.76271186440678,1.3016117794837923,1.4574527638505221,853322364.9,4.583861029628595,0,1.8447264224783515,4.533328045467511,4.533328045467511,0,46.6436868278846,2.043,N/A,853322364.9,0.2888286735079325,Industrials,Industrial Distribution,39718,EQUITY,4044086.76,3.48%,0,0,0,0,0,-10,1,0,0,0,1,1,0,0,1,-6
AMR,-2511000,63942000,-71672000,-2511000,138125000,-71672000,138125000,63942000,1095923000,874108000,1643570000,0,N/A,3910000,540728000,2492952000,1397029000,221815000,2492952000,849382000,1643570000,308654000,50426000,50426000,0,50426000,733293000,58909000,64187000,58909000,13111010,-6489000,4.53,4.49,N/A,-5917000,70104000,13013684,N/A,0,0,58909000,58909000,739782000,0,5278000,18805000,803969000,N/A,733293000,4727000,70676000,714488000,1353800000,43229000,N/A,122522000,N/A,124170000,-8483000,N/A,536818000,61962000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,168.06,13016010,0,7.327272568967211,37.42984409799554,1.3309263618829743,0.5167908881276733,2187470640.6,3.5506521865908103,0,2.363021831146368,3.58420998192958,3.575703498676767,NaN,8.222848863477028,1.45,N/A,2191380640.6,2.725702907201646,Basic Materials,Coking Coal,431411,EQUITY,72502932.66,2.67%,0,0,0,0,0,-10,1,0,0,0,0,0,0,0,0,-9
SOLV,-202000000,-126000000,-93000000,-202000000,169000000,-93000000,169000000,-126000000,3354000000,2401000000,3192000000,0,1599000000,8109000000,8649000000,14745000000,11391000000,953000000,14745000000,11553000000,3192000000,2904000000,300000000,300000000,0,300000000,1807000000,122000000,167000000,122000000,173900000,N/A,0.7,0.7,917000000,N/A,N/A,173400000,1165000000,0,0,122000000,122000000,1915000000,0,45000000,701000000,2082000000,N/A,890000000,-37000000,275000000,N/A,7141000000,2651000000,N/A,560000000,N/A,2093000000,178000000,N/A,540000000,251000000,N/A,N/A,N/A,189000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.24,172757294,0.5595581171950048,5.859750240153699,106.05714285714285,4.018014256441102,3.619360902255639,12825501506.56,1.1549586776859504,0,0.8273991183452017,3.8220551378446115,1.0795504822582074,16.223175965665234,26.94610778443114,,N/A,20934501506.559998,10.054995920537943,Healthcare,Health Information Services,1060979,EQUITY,78767080.96,0.94%,1,1,0,0,0,-10,0,0,0,0,1,1,0,0,-4,-10
