Ticker,net_income_loss_attributable_to_noncontrolling_interest,other_operating_expenses,cost_of_revenue,benefits_costs_expenses,income_loss_from_continuing_operations_before_tax,depreciation_and_amortization,income_tax_expense_benefit,participating_securities_distributed_and_undistributed_earnings_loss_basic,nonoperating_income_loss,net_income_loss_available_to_common_stockholders_basic,income_loss_from_continuing_operations_after_tax,provision_for_loan_lease_and_other_losses,diluted_average_shares,preferred_stock_dividends_and_other_adjustments,net_income_loss,basic_average_shares,gross_profit,operating_income_loss,net_income_loss_attributable_to_parent,basic_earnings_per_share,operating_expenses,costs_and_expenses,revenues,diluted_earnings_per_share,equity_attributable_to_noncontrolling_interest,assets,equity_attributable_to_parent,other_noncurrent_liabilities,current_liabilities,fixed_assets,long_term_debt,equity,accounts_payable,inventory,current_assets,other_noncurrent_assets,liabilities,noncurrent_assets,other_current_assets,noncurrent_liabilities,liabilities_and_equity,other_current_liabilities,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,net_cash_flow_continuing,net_cash_flow_from_investing_activities,net_cash_flow,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_financing_activities,net_cash_flow_from_operating_activities_continuing,exchange_gains_losses,research_and_development,intangible_assets,accounts_receivable,wages,selling_general_and_administrative_expenses,interest_expense_operating,income_loss_from_discontinued_operations_net_of_tax,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,income_loss_before_equity_method_investments,income_tax_expense_benefit_deferred,income_loss_from_equity_method_investments,undistributed_earnings_loss_allocated_to_participating_securities_basic,income_tax_expense_benefit_current,cash,interest_income_expense_after_provision_for_losses,interest_income_expense_operating_net,other_comprehensive_income_loss_attributable_to_parent,common_stock_dividends,temporary_equity,redeemable_noncontrolling_interest,temporary_equity_attributable_to_parent,interest_and_dividend_income_operating,cost_of_revenue_goods,prepaid_expenses,net_cash_flow_from_investing_activities_discontinued,noninterest_expense,noninterest_income,interest_and_debt_expense,commitments_and_contingencies,cost_of_revenue_services,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_loss_from_discontinued_operations_net_of_tax_during_phase_out,redeemable_noncontrolling_interest_preferred,noncurrent_prepaid_expenses,net_income_loss_attributable_to_redeemable_noncontrolling_interest,interest_payable,redeemable_noncontrolling_interest_common,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,other_operating_income_expenses,income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,long_term_investments,net_cash_flow_from_financing_activities_discontinued,stockPrice,totalShares,totalEmployees,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,profitPerEmployee,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,profitPerEmployeeCheck,totalPasses
HNNA,0,N/A,N/A,21918000,13620000,N/A,3660000,0,N/A,9960000,9960000,N/A,7828947,0,9960000,7787924,N/A,13145000,9960000,1.28,22393000,21918000,35538000,1.27,0,160459000,97736000,N/A,6013000,524000,N/A,97736000,N/A,N/A,76515000,83420000,62723000,83944000,75718000,56710000,160459000,N/A,9960000,0,9960000,0,8509000,-627000,8509000,-627000,-4656000,13792000,-4656000,13792000,N/A,N/A,N/A,N/A,N/A,N/A,2293000,N/A,N/A,N/A,N/A,911000,N/A,N/A,2749000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,797000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.46,7891917,18,0,28.026338004389668,7.448818897637796,0.7638693502905788,0.6417594335761644,74657534.82000001,12.724929319807085,797000,6.207193114752055,10.1907178521732,10.1907178521732,NaN,26.87224669603524,0.59,N/A,73860534.82000001,2.078353728966177,Financial Services,Asset Management,100323,EQUITY,949055.5800000001,1.7772747131154043,553333.3333333334,0,0,1,1,1,0,1,0,0,0,0,1,0,1,-2,2.658530418451379,6.658530418451379
HTCO,0,56925000,68272000,174118000,13135000,N/A,5366000,0,-4307000,7769000,10394000,N/A,27283974,0,7769000,27166645,118981000,17442000,7769000,N/A,135816000,171002000,187253000,0.5700000000000001,0,270623000,49844000,51592000,34932000,178069000,134255000,49844000,3586000,1043000,49669000,N/A,220779000,39290000,14223000,185847000,270623000,31346000,7847000,7847000,7847000,0,2281000,-27433000,2281000,-27433000,-6697000,36411000,-6697000,36411000,N/A,N/A,3827000,31650000,N/A,29553000,4319000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78000,0.595,N/A,N/A,N/A,N/A,41835000,2753000,N/A,N/A,N/A,N/A,N/A,68272000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.966,7385324,31,0.6354023700554864,4.148932193342697,15.729824561403506,1.3284811609020142,4.429399727148704,66216814.984,1.4218767891904271,2753000,2.870783340662102,15.586630286493861,5.64587531708483,0,40.852683669585076,-0.55,N/A,197718814.984,1.0558913073969443,Industrials,Marine Shipping,26054,EQUITY,233600.164,1.0815182818121911,250612.90322580645,1,1,0,0,1,0,0,0,1,0,1,1,0,1,-3,2.2748975090038064,6.274897509003806
KEQU,285000,N/A,202448000,269718000,15797000,N/A,3770000,0,N/A,11742000,12027000,N/A,5972000,0,12027000,5729000,83067000,19667000,11742000,4.1,63400000,269718000,285515000,3.9400000000000004,1865000,189075000,69852000,36298000,45810000,23155000,35250000,71717000,22660000,35499000,113640000,35217000,117358000,75435000,78141000,71548000,189075000,15534000,10939000,-803000,11224000,285000,-15633000,-32281000,-15985000,-32281000,7981000,8667000,7981000,8667000,-352000,N/A,17063000,N/A,7616000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38,2866384,1239,0.2909374288566275,4.212388140728158,9.64467005076142,1.5187834404673926,1.636404199841042,108922592,2.4806810740013097,0,6.3609678698929,16.770082407239567,11.243654585058943,0,23.865290878014815,0.607,N/A,144172592,0.5049562790046057,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4529,EQUITY,172102,1.5345414923084024,9707.021791767555,1,0,0,0,1,0,1,0,1,0,1,1,1,1,-2,0.184811441721852,6.184811441721852
OPHC,0,N/A,N/A,41534000,21025000,N/A,5279000,0,N/A,15746000,15746000,2108000,9847694742,0,15746000,9471754298,N/A,21025000,15746000,1.3699999999999999,41534000,41534000,62559000,1.3800000000000001,0,1083043000,116888000,N/A,966155000,2308000,N/A,116888000,N/A,N/A,1083043000,N/A,966155000,0,N/A,0,1083043000,N/A,15477000,-269000,15477000,0,103487000,-34501000,103487000,-34501000,120824000,17164000,120824000,17164000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-378000,N/A,N/A,N/A,N/A,37703000,39953000,-5837000,N/A,N/A,N/A,N/A,62559000,N/A,N/A,N/A,22793000,6115000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.24,11533943,73,0,25.169839671350246,3.072463768115942,0.4183827109711861,8.265647457395113,48903918.32,1.1209826580621123,1083043000,1.4538665593148195,13.47101498870714,13.47101498870714,NaN,25.108204518430437,0.289,N/A,-1034139081.68,-16.530620401221245,Financial Services,Banks - Regional,5990,EQUITY,25397.600000000002,2.4306871395641196,215698.6301369863,0,0,1,1,1,0,0,0,0,0,0,1,0,1,-1,2.1709032845318537,6.170903284531853
AXR,0,N/A,N/A,33035000,12912000,N/A,2410000,0,N/A,10502000,10502000,0,10759000,0,10502000,10655000,N/A,11236000,10502000,1.9700000000000002,34711000,34711000,45947000,1.9500000000000002,0,140133000,136028000,N/A,4105000,2195000,23000,136028000,N/A,N/A,140133000,N/A,4105000,0,N/A,0,140133000,N/A,10502000,10502000,10502000,0,4484000,-513000,4484000,-513000,-9000,5006000,-9000,5006000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2337000,N/A,N/A,N/A,N/A,1680000,1680000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.85,5305199,49,0,22.85676975645853,9.666666666666666,0.7351648274619932,0.030177610491957538,100003001.15,34.13714981729598,140133000,7.494308977899566,7.720469315141,7.719164136978045,NaN,18.66480793060719,,N/A,-40106998.849999994,-0.8728970085098047,Real Estate,Real Estate - Development,3489,EQUITY,65767.65000000001,1.532367397702639,214326.5306122449,0,0,1,1,1,0,1,0,0,0,0,1,0,1,-2,2.166242934717863,6.166242934717863
CLW,100000,71900000,1443000000,1218700000,337400000,N/A,-16000000,0,-26600000,142200000,-75800000,N/A,N/A,0,142300000,16229724,113100000,-65200000,142200000,8.4,178300000,1218700000,1556100000,8.4,0,1561400000,783000000,272600000,232400000,1015900000,273500000,783000000,N/A,283200000,487900000,54900000,778500000,1073500000,43000000,546100000,1561400000,200800000,142400000,100000,142400000,0,-8000000,873500000,-1100000,875100000,-846800000,-27800000,-846800000,-36300000,N/A,N/A,2700000,161700000,31600000,106400000,19200000,218100000,8500000,6900000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.99,16038337,2200,0.07268170426065163,9.144656513077566,2.1416666666666666,0.3685396380508366,0.9942528735632183,288529682.63,2.0993975903614457,0,9.113615985653901,18.173690932311622,-7.174633222905821,0,-4.742145820983995,0.215,N/A,562029682.63,0.3611783835421888,Basic Materials,Paper & Paper Products,125590,EQUITY,2259364.0999999996,2.597058818428759,64681.818181818184,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1.0965174390280197,6.09651743902802
HBB,0,N/A,455747000,573840000,33590000,N/A,1680000,0,N/A,31910000,31910000,N/A,13517000,0,31910000,13499000,151683000,34704000,31910000,2.3000000000000003,116979000,573840000,607430000,2.3000000000000003,0,392382000,164048000,N/A,135616000,33172000,N/A,164048000,106458000,174801000,291247000,67963000,228334000,101135000,116446000,92718000,392382000,29158000,31264000,31264000,31264000,0,-6853000,-3352000,-6360000,-3352000,-19098000,15597000,-19098000,15597000,493000,N/A,N/A,N/A,N/A,116668000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-646000,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.21,13443152,700,0.24971272409989628,5.253280213357918,7.047826086956522,1.3283520306251828,1.3918731103091777,217913493.92000002,2.1475858305804625,0,8.132381199953107,19.45162391495172,19.45162391495172,0,5.001488538255433,0.138,N/A,217913493.92000002,0.35874667685165373,Consumer Cyclical,"Furnishings, Fixtures & Appliances",11362,EQUITY,184178.02000000002,1.8274828156183252,45585.71428571428,1,0,0,0,1,0,1,0,1,1,1,0,0,1,-2,0.816873644260536,5.816873644260536
OPBK,0,N/A,N/A,-28759000,32468000,3180000,8901000,208000,N/A,23359000,23567000,4664000,44617823,208000,23567000,44583963,N/A,32468000,23567000,1.5699999999999998,-28759000,-28759000,3709000,1.5699999999999998,0,2614214000,221499000,N/A,2392715000,6995000,N/A,221499000,N/A,N/A,2614214000,N/A,2392715000,0,N/A,0,2614214000,N/A,25788000,25788000,25788000,0,-8000,-228173000,-8000,-228173000,200160000,28005000,200160000,28005000,N/A,N/A,N/A,N/A,N/A,N/A,2976000,N/A,N/A,N/A,N/A,-324000,N/A,N/A,N/A,N/A,69750000,74414000,2221000,N/A,N/A,N/A,N/A,146097000,N/A,N/A,N/A,54613000,17331000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.26,14885614,231,0,635.4003774602319,9.0828025477707,0.958328731235807,10.802373825615465,212268855.64,1.0925722453363647,2614214000,0.9014946748812455,10.639777154750133,10.639777154750133,NaN,27.414685228532708,0.683,N/A,-2401945144.36,-647.5991222324077,Financial Services,Banks - Regional,28797,EQUITY,410645.22,1.591725051800753,102021.64502164502,0,0,1,1,1,0,0,0,0,0,0,1,1,1,-2,1.5191114605753713,5.519111460575371
PNRG,0,73843000,5857000,165593000,32943000,85893000,7741000,0,N/A,25202000,25202000,N/A,2415722,0,25202000,1651848,192679000,32943000,25202000,15.3,159736000,165593000,198536000,10.45,0,332018000,213785000,N/A,45269000,1735000,N/A,213785000,27114000,N/A,24036000,306247000,118233000,307982000,22794000,72964000,332018000,18155000,25202000,0,25202000,0,2107000,-88087000,2107000,-88087000,-18255000,108449000,-18255000,108449000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1242000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,175.64,1635000,78,0.9704990530684612,12.693919490671718,16.807655502392343,1.343271978857263,0.5530462848188601,287171400,0.5309593761735404,1242000,7.590552319452559,11.78847907944898,11.78847907944898,0,23.49816349452084,-0.081,N/A,285929400,1.4401891848329773,Energy,Oil & Gas E&P,108133,EQUITY,18992480.119999997,1.0250416065309376,323102.5641025641,1,1,1,0,1,0,0,0,0,0,1,1,0,0,-3,2.426758104137201,5.4267581041372015
KINS,0,158783453,N/A,161278762,39270365,2495309,7824223,0,N/A,31446142,31446142,N/A,14477519,0,31446142,14186139,N/A,39270365,31446142,2.3100000000000005,161278762,161278762,200549127,2.2199999999999998,0,428590242,107653042,N/A,320937200,7861007,4752684,107653042,N/A,N/A,428590242,N/A,320937200,0,N/A,0,428590242,N/A,33741725,2295583,33741725,0,-6988496,-82406166,-6988496,-82406166,-632066,76049736,-632066,76049736,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1254472,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.31,14147428,99,0,15.68001938996224,7.797297297297297,2.274826369328235,2.9812181247976253,244891978.67999998,1.3354333558091738,428590242,7.3371110488325115,29.21063949126491,27.975569500792158,NaN,19.923988483427642,0.429,N/A,-178945579.32000002,-0.8922780268198326,Financial Services,Insurance - Property & Casualty,107158,EQUITY,1854904.9799999997,1.7351799394017817,317637.797979798,0,0,1,0,1,0,0,0,1,1,0,1,0,0,-2,2.417491575798656,5.417491575798656
PKBK,0,N/A,N/A,94171000,44534000,N/A,10445000,19000,N/A,34070000,34089000,2120000,11994570,19000,34089000,11810887,N/A,44534000,34089000,2.88,94171000,94171000,138705000,2.84,0,2172134000,314837000,N/A,1857297000,5573000,N/A,314837000,N/A,N/A,2172134000,N/A,1857297000,0,N/A,0,2172134000,N/A,34129000,40000,34129000,0,-13136000,-119350000,-13136000,-119350000,72586000,33628000,72586000,33628000,N/A,N/A,N/A,N/A,N/A,N/A,7557000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68141000,70261000,N/A,N/A,N/A,N/A,N/A,138705000,N/A,N/A,N/A,27232000,3625000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.81,11595553,108,0,24.576619444144047,8.735915492957746,0.9137606759370721,5.899233571657715,287685669.93,1.1695135457603172,2172134000,1.5693783164390411,10.827507567407897,10.827507567407897,NaN,23.453990209727397,0.547,N/A,-1884448330.07,-13.586015861504631,Financial Services,Banks - Regional,20450,EQUITY,507364.5,1.6286603989964934,315638.8888888889,0,0,1,1,1,0,0,0,0,0,0,1,0,1,-2,2.414029149645211,5.414029149645211
NECB,0,N/A,N/A,94828000,61169000,N/A,17351000,0,N/A,43818000,43818000,1263000,13706000,0,43818000,13256000,N/A,61169000,43818000,3.31,94828000,94828000,155997000,3.2100000000000004,0,2056246000,344043000,N/A,1712203000,25507000,170000000,344043000,N/A,N/A,2056246000,N/A,1712203000,0,N/A,0,2056246000,N/A,43720000,-98000,43720000,0,-33452000,-122240000,-33452000,-122240000,37936000,50852000,37936000,50852000,N/A,N/A,N/A,N/A,N/A,N/A,2308000,N/A,N/A,N/A,N/A,-238000,N/A,N/A,N/A,N/A,99313000,100576000,-98000,1.2999999999999998,N/A,N/A,N/A,155997000,N/A,N/A,N/A,41400000,3256000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.96,13483693,143,0,28.089001711571377,7.152647975077881,0.8998456334818613,4.976712213298919,309585591.28000003,1.2009358703378046,2056246000,2.1309707107029023,12.736198672840313,8.524189610596778,NaN,28.36567542382579,0.421,N/A,-1576660408.72,-10.106991857022892,Financial Services,Banks - Regional,30707,EQUITY,705032.72,1.814173129101246,306419.5804195804,0,0,1,1,1,0,0,0,0,0,0,1,0,1,-2,2.3975303821021003,5.397530382102101
MFIN,7958000,230301000,N/A,232501000,77656000,2200000,25195000,0,N/A,45098000,52461000,82705000,72442812,0,52461000,68179185,N/A,77656000,40988000,1.8100000000000003,232500000,232501000,310156000,1.71,99429000,2900387000,397448000,N/A,2403510000,N/A,215698000,496877000,N/A,N/A,2900387000,N/A,2403510000,0,N/A,0,2900387000,N/A,40819000,-169000,52292000,7958000,-36951000,-130483000,-36951000,-130483000,-29988000,123520000,-29988000,123520000,N/A,N/A,18063000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129775000,212480000,N/A,N/A,N/A,N/A,N/A,310156000,N/A,N/A,N/A,80217000,28097000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.57,23279435,174,0,16.91439146751957,6.181286549707603,0.4952204025342288,4.837233359563836,246063627.95000002,1.2067297410869937,2900387000,1.8087586242801392,10.558146181046817,7.362172402904957,NaN,32.44437004223756,0.651,N/A,-2438625372.05,-7.862576806671482,Financial Services,Credit Services,32373,EQUITY,342182.61,1.9426200309859352,301500,0,0,1,0,1,0,0,0,0,0,0,1,1,1,-2,2.3883536589601135,5.3883536589601135
OFS,0,N/A,N/A,0,13764000,N/A,N/A,0,N/A,3230000,3230000,N/A,13398078,0,3230000,13398078,N/A,N/A,3230000,1.03,N/A,0,13764000,1.03,0,378150000,136314000,N/A,241836000,N/A,N/A,136314000,N/A,N/A,378150000,N/A,241836000,0,N/A,0,378150000,N/A,3230000,0,3230000,0,0,15270000,0,15270000,-30625000,15355000,-30625000,15355000,N/A,N/A,N/A,N/A,N/A,N/A,16179000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.6,13398078,53,0,23.46701540249927,4.466019417475728,0.45212640521149694,1.7741097759584488,61631158.8,1.5636629782166427,378150000,0.8541584027502315,2.3695291752864707,2.3695291752864707,NaN,0,0.902,N/A,-316518841.2,-22.996137837837836,Financial Services,Asset Management,51593,EQUITY,237327.8,2.1978122806480913,60943.3962264151,0,0,1,1,1,0,1,0,0,0,0,0,0,1,-1,1.0453182886000283,5.045318288600028
GENC,0,N/A,84999000,95250000,22277000,N/A,7085000,0,6797000,15192000,15192000,N/A,N/A,0,15192000,N/A,32528000,15480000,15192000,1.04,17048000,95250000,117527000,1.04,0,220156000,209881000,N/A,8279000,10641000,N/A,209881000,2539000,52872000,205332000,4183000,10275000,14824000,152460000,1996000,220156000,5740000,15192000,0,15192000,0,0,-1028000,0,-1028000,906000,122000,906000,122000,N/A,2893000,N/A,N/A,N/A,14155000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.6,14657702,318,0.27677044423834524,12.926391382405743,12.115384615384615,0.8799607644331788,0.04895631333946379,184687045.2,24.8015460804445,0,6.900561420083941,7.238387467183785,7.238387467183785,8.89387604525332,31.80410288638506,0.499,N/A,184687045.2,1.5714435423349526,Industrials,Farm & Heavy Construction Machinery,17212,EQUITY,216871.19999999998,1.3178719062254456,47773.58490566038,1,0,1,0,1,0,1,0,0,0,1,1,0,1,-3,0.8511826163134992,4.8511826163134995
SWKH,0,4059000,N/A,186000,10696000,N/A,1916000,0,N/A,8780000,8780000,N/A,12117000,0,8780000,12117000,N/A,6676000,8780000,0.72,4206000,186000,10882000,0.72,0,289362000,254206000,N/A,2874000,N/A,32969000,254206000,N/A,N/A,16330000,N/A,35156000,273032000,N/A,32282000,289362000,N/A,8780000,0,8780000,0,2200000,2959000,2200000,2959000,-1665000,906000,-1665000,906000,N/A,147000,N/A,N/A,N/A,N/A,N/A,1601000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1601000,N/A,N/A,17.13,12095906,9,0,80.68369784965998,23.791666666666668,0.8150982658945893,0.13829728645271944,207202869.78,5.681976339596381,16330000,3.0342615823777828,3.453891725608365,3.057369199965178,Infinity,17.913238593866865,0.366,N/A,223841869.78,20.569920031244255,Financial Services,Asset Management,9175,EQUITY,157167.75,0.7599252460952246,975555.5555555555,0,0,1,1,1,0,1,0,0,0,0,1,0,1,-4,2.8049099372636324,4.804909937263632
LOAN,0,N/A,N/A,3727840,5295878,N/A,N/A,0,N/A,5294668,5294018,N/A,22877300,0,5294668,22877300,N/A,5277878,5294668,0.47,3745840,3727840,9023718,0.47,0,59988878,43316872,N/A,16672006,N/A,N/A,43316872,N/A,N/A,59988878,N/A,16672006,0,N/A,0,59988878,N/A,5294668,0,5294668,0,32419,10337959,32419,10337959,-15382424,5076884,-15382424,5076884,N/A,N/A,N/A,N/A,N/A,N/A,1796644,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.88,11438651,6,0,58.6750162183703,10.382978723404255,1.2886576131351313,0.3848848088569276,55820616.879999995,3.5981799670657506,59988878,8.826082728201717,12.223107892001066,12.22160732196914,NaN,0,0.26,N/A,-4168261.120000005,-0.46192280388194806,Real Estate,REIT - Mortgage,15577,EQUITY,76015.76,1.464119600087093,882444.6666666666,0,0,1,1,1,0,1,0,0,0,0,0,0,1,-3,2.784491143659575,4.784491143659575
WEYS,0,N/A,155933000,246312000,33531000,N/A,9146000,0,N/A,24385000,24385000,N/A,9608000,0,24385000,9508000,123910000,30518000,24385000,2.58,93392000,246312000,279843000,2.54,0,304044000,251327000,N/A,21181000,27334000,N/A,251327000,7697000,67178000,191174000,85536000,52717000,112870000,123996000,31536000,304044000,13484000,25751000,1366000,25751000,0,-1000000,-622000,-1000000,-622000,-34060000,33682000,-34060000,33682000,N/A,N/A,N/A,N/A,N/A,93392000,N/A,N/A,N/A,N/A,N/A,2939000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.33,9548388,580,0.4427839895941653,8.71381453171957,12.334645669291337,1.1902859463567383,0.2097546224639613,299150996.03999996,9.025730607620037,0,8.020220757521937,9.702499134593577,9.702499134593577,0,27.276251826667856,0.902,N/A,299150996.03999996,1.068995815653777,Consumer Cyclical,Footwear & Accessories,7310,EQUITY,229022.3,1.3010843541007207,42043.10344827586,1,1,0,0,1,0,1,0,0,0,1,1,0,1,-3,0.7601131915732656,4.760113191573265
PCB,0,N/A,N/A,-46826000,49677000,N/A,14429000,1037000,N/A,34450000,35248000,5006000,14368135,798000,35248000,14232730,N/A,49677000,35248000,2.42,-46826000,-46826000,2851000,2.41,0,3363506000,384501000,N/A,2979005000,8604000,N/A,384501000,N/A,N/A,3363506000,N/A,2979005000,0,N/A,0,3363506000,N/A,36286000,36286000,36286000,0,176434000,-290265000,176434000,-290265000,438813000,27886000,438813000,27886000,N/A,N/A,N/A,N/A,N/A,N/A,1584000,N/A,N/A,N/A,N/A,-9114000,N/A,239000,N/A,N/A,95409000,100415000,1038000,N/A,N/A,N/A,N/A,193990000,N/A,N/A,N/A,58066000,12334000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.205,14260754,270,0,1236.3381269729919,9.21369294605809,0.8235610377346223,7.7477171710866815,316660042.57,1.1290702768206162,3363506000,1.0479541288167762,9.167206327161697,9.167206327161697,NaN,29.045634800813254,0.508,N/A,-3046845957.43,-1068.6937767204488,Financial Services,Banks - Regional,10040,EQUITY,222938.19999999998,1.5781160774377145,130548.14814814815,0,0,1,1,1,0,0,0,0,0,0,1,0,1,-2,1.7515950804207163,4.751595080420716
PED,0,13026000,N/A,2500000,-3770000,16351000,-13329000,0,N/A,9559000,-8221884,N/A,91571649,0,9559000,91570023,N/A,-4285000,9559000,0.11,36362000,2500000,-6299884,0.11,0,135888000,115368000,N/A,14636000,N/A,N/A,115368000,10295000,N/A,16153000,N/A,20520000,119735000,N/A,5884000,135888000,4341000,9559000,0,9559000,0,7062000,-10758000,7062000,-10758000,696000,17124000,696000,17124000,N/A,N/A,N/A,0,N/A,6985000,N/A,N/A,N/A,N/A,N/A,-590751,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.554,95519352,14,0,-151.7329525432532,5.036363636363637,0.4586862995631371,0.17786561264822134,52917721.008,1.1036485378518721,16153000,7.03446956316967,8.285659801678108,-7.126659038901602,NaN,353.55437665782495,0.319,N/A,36764721.008,N/A,Energy,Oil & Gas E&P,37376,EQUITY,20706.304,2.108950424975609,682785.7142857143,0,0,0,0,1,0,0,0,0,0,0,1,0,1,-1,2.722258863517,4.722258863517
