Ticker,gross_profit,net_income_loss_attributable_to_parent,basic_average_shares,provision_for_loan_lease_and_other_losses,cost_of_revenue,nonoperating_income_loss,diluted_earnings_per_share,preferred_stock_dividends_and_other_adjustments,net_income_loss_available_to_common_stockholders_basic,income_tax_expense_benefit,operating_income_loss,costs_and_expenses,revenues,other_operating_expenses,diluted_average_shares,participating_securities_distributed_and_undistributed_earnings_loss_basic,net_income_loss_attributable_to_noncontrolling_interest,basic_earnings_per_share,operating_expenses,income_loss_from_continuing_operations_after_tax,benefits_costs_expenses,net_income_loss,income_loss_from_continuing_operations_before_tax,depreciation_and_amortization,noncurrent_assets,other_noncurrent_liabilities,other_noncurrent_assets,current_liabilities,fixed_assets,long_term_debt,other_current_assets,current_assets,inventory,liabilities,accounts_payable,equity_attributable_to_noncontrolling_interest,assets,liabilities_and_equity,equity_attributable_to_parent,other_current_liabilities,noncurrent_liabilities,equity,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_parent,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_financing_activities,net_cash_flow_from_operating_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_investing_activities,net_cash_flow,net_cash_flow_from_investing_activities_continuing,exchange_gains_losses,research_and_development,net_cash_flow_discontinued,net_cash_flow_from_operating_activities_discontinued,accounts_receivable,wages,intangible_assets,income_loss_from_discontinued_operations_net_of_tax,interest_expense_operating,selling_general_and_administrative_expenses,income_loss_from_equity_method_investments,income_tax_expense_benefit_current,income_tax_expense_benefit_deferred,income_loss_before_equity_method_investments,undistributed_earnings_loss_allocated_to_participating_securities_basic,cash,interest_income_expense_operating_net,interest_income_expense_after_provision_for_losses,other_comprehensive_income_loss_attributable_to_parent,common_stock_dividends,temporary_equity,redeemable_noncontrolling_interest,temporary_equity_attributable_to_parent,interest_and_dividend_income_operating,cost_of_revenue_goods,prepaid_expenses,net_cash_flow_from_investing_activities_discontinued,noninterest_income,noninterest_expense,interest_and_debt_expense,commitments_and_contingencies,cost_of_revenue_services,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_loss_from_discontinued_operations_net_of_tax_during_phase_out,redeemable_noncontrolling_interest_preferred,noncurrent_prepaid_expenses,net_income_loss_attributable_to_redeemable_noncontrolling_interest,interest_payable,redeemable_noncontrolling_interest_common,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,other_operating_income_expenses,income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,long_term_investments,net_cash_flow_from_financing_activities_discontinued,stockPrice,totalShares,totalEmployees,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,profitPerEmployee,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,profitPerEmployeeCheck,totalPasses
NREF,N/A,90479000,17670000,24586000,N/A,91367000,2.91,-874000,72210000,N/A,22884000,-56484000,57767000,N/A,29357000,-3496000,30542000,4.1,34883000,114251000,-56484000,114251000,114251000,N/A,0,N/A,N/A,4503098000,N/A,720898000,N/A,5278074000,N/A,4503098000,N/A,0,5278074000,5278074000,375423000,N/A,0,375423000,0,114251000,0,114251000,-549218000,31811000,-549218000,31811000,-17146000,500261000,-17146000,500261000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-906000,N/A,N/A,115157000,N/A,N/A,57767000,33181000,N/A,N/A,399553000,93989000,305564000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17831000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.05,17721828,1,0,197.7790087766372,4.828178694158075,0.3212895410954662,11.994731276453495,248991683.4,1.1720984086955246,5278074000,2.164634296525589,30.432605354493464,10.4213090873932,NaN,0,1.204,N/A,-4308184316.6,-74.57864034137138,Real Estate,REIT - Mortgage,22858,EQUITY,321154.9,20.71%,114251000,0,0,1,1,1,0,0,0,1,0,0,0,0,1,36,2.998328365765381,43.99832836576538
PED,N/A,9559000,91570023,N/A,N/A,N/A,0.11,0,9559000,-13329000,-4285000,2500000,-6299884,13026000,91571649,0,0,0.11,36362000,-8221884,2500000,9559000,-3770000,16351000,119735000,N/A,N/A,14636000,N/A,N/A,N/A,16153000,N/A,20520000,10295000,0,135888000,135888000,115368000,4341000,5884000,115368000,0,9559000,0,9559000,696000,17124000,696000,17124000,7062000,-10758000,7062000,-10758000,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,6985000,N/A,N/A,-590751,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.554,95519352,14,0,-151.7329525432532,5.036363636363637,0.4586862995631371,0.17786561264822134,52917721.008,1.1036485378518721,16153000,7.03446956316967,8.285659801678108,-7.126659038901602,NaN,353.55437665782495,0.319,N/A,36764721.008,N/A,Energy,Oil & Gas E&P,37376,EQUITY,20706.304,19.86%,682785.7142857143,0,0,0,0,1,0,0,0,0,0,0,1,0,1,34,2.722258863517,39.722258863517
MFIN,N/A,40988000,68179185,82705000,N/A,N/A,1.71,0,45098000,25195000,77656000,232501000,310156000,230301000,72442812,0,7958000,1.8100000000000003,232500000,52461000,232501000,52461000,77656000,2200000,0,N/A,N/A,2403510000,N/A,215698000,N/A,2900387000,N/A,2403510000,N/A,99429000,2900387000,2900387000,397448000,N/A,0,496877000,-169000,52292000,7958000,40819000,-29988000,123520000,-29988000,123520000,-36951000,-130483000,-36951000,-130483000,N/A,N/A,N/A,N/A,N/A,N/A,18063000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,212480000,129775000,N/A,N/A,N/A,N/A,N/A,310156000,N/A,N/A,N/A,28097000,80217000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.57,23279435,174,0,16.91439146751957,6.181286549707603,0.4952204025342288,4.837233359563836,246063627.95000002,1.2067297410869937,2900387000,1.8087586242801392,10.558146181046817,7.362172402904957,NaN,32.44437004223756,0.651,N/A,-2438625372.05,-7.862576806671482,Financial Services,Credit Services,32373,EQUITY,342182.61,16.18%,301500,0,0,1,0,1,0,0,0,0,0,0,1,1,1,27,2.3883536589601135,34.38835365896011
NEWP,262520000,31121000,39221000,N/A,340171000,N/A,0.78,0,31121000,11945000,47389000,559625000,602691000,N/A,39830000,0,0,0.79,215131000,31121000,559625000,31121000,43066000,17200000,296629000,37277000,147363000,97606000,83446000,74247000,166509000,280014000,113505000,209130000,29994000,0,576643000,576643000,367513000,34847000,111524000,367513000,-6712000,24409000,0,24409000,-28057000,51666000,-28057000,51666000,-5737000,-29346000,-5205000,-29346000,532000,58512000,N/A,N/A,N/A,32765000,65820000,N/A,2314000,155531000,N/A,11730000,-122000,43066000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,340171000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.85,183736205,36,0.43557975811817334,5.163674254302785,4.935897435897436,1.924787393235069,0.5690410951449336,707384389.25,2.8688195397823906,0,5.396926694679377,8.467999771436657,7.044775443679827,22.288587536187716,27.73649746900107,1.661,N/A,781631389.25,1.2969023749317643,Basic Materials,Silver,752421,EQUITY,2896820.85,20.26%,864472.2222222222,1,1,0,0,1,-10,1,0,0,0,1,1,0,0,35,2.7800498125648505,33.78004981256485
MSGM,6835295,3429178,4714277,0,2588843,N/A,0.42000000000000015,0,3410733,N/A,2012425,6273947,9424138,4978531,4714277,0,-278987,0.42000000000000015,6931367,3150191,6273947,3150191,3150191,63912,3757863,N/A,30940,3297662,32423,N/A,N/A,6343250,N/A,3306278,973930,941505,10101113,10101113,5853330,2323732,8616,6794835,2343059,4661520,70359,4591161,1503543,1243846,1503543,1243846,3277133,529744,3277133,529744,N/A,1888924,N/A,N/A,N/A,N/A,3694500,N/A,49461,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-49461,-49461,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.16,5078450,39,0.7252965735433841,33.42683436936089,7.523809523809521,2.361779498692757,0.48658694434817035,16047902,1.9235597826581379,6343250,31.18657320237879,46.361552561614815,46.361552561614815,27.634857017875603,0,1.794,N/A,9704652,1.0297654809384158,Communication Services,Electronic Gaming & Multimedia,34939,EQUITY,110407.24,13.29%,80774.1282051282,1,1,1,1,1,0,1,1,1,1,1,0,0,1,21,1.2976413912269118,33.29764139122691
ENGN,N/A,-117302000,51119479,N/A,N/A,5863000,2.29,0,-117302000,0,-123165000,N/A,0,28685000,51119479,0,0,2.29,123165000,-117302000,N/A,-117302000,-117302000,N/A,20077000,N/A,17600000,31979000,2477000,N/A,N/A,201391000,N/A,53758000,6688000,0,221468000,221468000,167710000,21238000,21779000,167710000,531000,-116771000,0,-116771000,1524000,-99239000,1524000,-99239000,-122853000,-25138000,-122852000,-25138000,1000,94480000,N/A,N/A,N/A,4053000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,531000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.5,66984661,82,0,-Infinity,4.148471615720524,3.794372902629539,0.3205414107685886,636354279.5,6.297601551017856,201391000,-52.965665468600434,-69.94335460020274,-69.94335460020274,Infinity,0,-0.268,N/A,434963279.5,N/A,Healthcare,Biotechnology,142780,EQUITY,1356410,24.11%,-1430512.1951219512,0,0,0,0,1,-10,1,0,0,0,0,0,0,0,43,-2.866708061981183,32.133291938018814
RWAY,N/A,54904000,110210612,N/A,N/A,N/A,1.46,0,54904000,N/A,-21263000,81167000,59904000,N/A,110210612,0,0,1.46,81167000,54904000,0,54904000,59904000,N/A,0,N/A,N/A,473820000,N/A,443506000,N/A,963346000,N/A,473820000,N/A,0,963346000,963346000,489526000,N/A,0,489526000,0,54904000,0,54904000,-175272000,179570000,-175272000,179570000,-4000,-4300000,-2000,-4298000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43801000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.93,36134037,N/A,0,91.65331196581197,6.116438356164384,0.6591620269607743,0.9679159023218379,322676950.40999997,2.0331476087965896,963346000,5.699302223707785,11.215747478172764,5.884471272153581,NaN,0,0.595,N/A,-197163049.59000003,-3.2913169335937504,Financial Services,Asset Management,279075,EQUITY,2492139.75,16.35%,N/A,0,0,1,1,1,0,1,0,0,0,0,0,0,0,27,0,31
HBB,151683000,31910000,13499000,N/A,455747000,N/A,2.3000000000000003,0,31910000,1680000,34704000,573840000,607430000,N/A,13517000,0,0,2.3000000000000003,116979000,31910000,573840000,31910000,33590000,N/A,101135000,N/A,67963000,135616000,33172000,N/A,116446000,291247000,174801000,228334000,106458000,0,392382000,392382000,164048000,29158000,92718000,164048000,31264000,31264000,0,31264000,-19098000,15597000,-19098000,15597000,-6853000,-3352000,-6360000,-3352000,493000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,116668000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-646000,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.21,13443152,700,0.24971272409989628,5.253280213357918,7.047826086956522,1.3283520306251828,1.3918731103091777,217913493.92000002,2.1475858305804625,0,8.132381199953107,19.45162391495172,19.45162391495172,0,5.001488538255433,0.138,N/A,217913493.92000002,0.35874667685165373,Consumer Cyclical,"Furnishings, Fixtures & Appliances",11362,EQUITY,184178.02000000002,14.19%,45585.71428571428,1,0,0,0,1,0,1,0,1,1,1,0,0,1,23,0.816873644260536,30.816873644260536
LFVN,183759000,10134000,36983000,N/A,45118000,9000,0.77,0,10134000,1772000,11897000,216971000,228877000,101350000,39425000,0,0,0.8200000000000001,171862000,10134000,216971000,10134000,11906000,N/A,16531000,N/A,10289000,18829000,5997000,N/A,24454000,45048000,20594000,28422000,4356000,0,61579000,61579000,33157000,14473000,9593000,33157000,-1771000,10584000,0,9904000,-10067000,10156000,-10067000,10156000,-1372000,-1461000,-1505000,-1461000,-133000,1300000,N/A,N/A,N/A,N/A,245000,N/A,N/A,69212000,N/A,N/A,2811000,N/A,N/A,N/A,N/A,N/A,N/A,0.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.07,12701187,238,0.8028722851138385,4.427705710927703,7.883116883116883,2.325186388696203,0.8571945592182646,77096205.09,2.392479685591375,0,16.45690901118888,30.563681877130016,30.563681877130016,0.7074483426662096,14.883252141777255,0.325,N/A,77096205.09,0.3368455768382144,Consumer Defensive,Packaged Foods,352085,EQUITY,2137155.95,12.69%,42579.83193277311,1,1,0,0,1,0,1,1,1,1,1,1,0,0,20,0.768807444723371,29.76880744472337
HNNA,N/A,9960000,7787924,N/A,N/A,N/A,1.27,0,9960000,3660000,13145000,21918000,35538000,N/A,7828947,0,0,1.28,22393000,9960000,21918000,9960000,13620000,N/A,83944000,N/A,83420000,6013000,524000,N/A,75718000,76515000,N/A,62723000,N/A,0,160459000,160459000,97736000,N/A,56710000,97736000,0,9960000,0,9960000,-4656000,13792000,-4656000,13792000,8509000,-627000,8509000,-627000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2293000,N/A,N/A,2749000,911000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,797000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.46,7891917,18,0,28.026338004389668,7.448818897637796,0.7638693502905788,0.6417594335761644,74657534.82000001,12.724929319807085,797000,6.207193114752055,10.1907178521732,10.1907178521732,NaN,26.87224669603524,0.59,N/A,73860534.82000001,2.078353728966177,Financial Services,Asset Management,100323,EQUITY,949055.5800000001,13.42%,553333.3333333334,0,0,1,1,1,0,1,0,0,0,0,1,0,1,21,2.658530418451379,29.658530418451377
NECB,N/A,43818000,13256000,1263000,N/A,N/A,3.2100000000000004,0,43818000,17351000,61169000,94828000,155997000,N/A,13706000,0,0,3.31,94828000,43818000,94828000,43818000,61169000,N/A,0,N/A,N/A,1712203000,25507000,170000000,N/A,2056246000,N/A,1712203000,N/A,0,2056246000,2056246000,344043000,N/A,0,344043000,-98000,43720000,0,43720000,37936000,50852000,37936000,50852000,-33452000,-122240000,-33452000,-122240000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2308000,N/A,N/A,N/A,-238000,N/A,N/A,N/A,100576000,99313000,-98000,1.2999999999999998,N/A,N/A,N/A,155997000,N/A,N/A,N/A,3256000,41400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.96,13483693,143,0,28.089001711571377,7.152647975077881,0.8998456334818613,4.976712213298919,309585591.28000003,1.2009358703378046,2056246000,2.1309707107029023,12.736198672840313,8.524189610596778,NaN,28.36567542382579,0.421,N/A,-1576660408.72,-10.106991857022892,Financial Services,Banks - Regional,30707,EQUITY,705032.72,13.98%,306419.5804195804,0,0,1,1,1,0,0,0,0,0,0,1,0,1,22,2.3975303821021003,29.3975303821021
KINS,N/A,31446142,14186139,N/A,N/A,N/A,2.2199999999999998,0,31446142,7824223,39270365,161278762,200549127,158783453,14477519,0,0,2.3100000000000005,161278762,31446142,161278762,31446142,39270365,2495309,0,N/A,N/A,320937200,7861007,4752684,N/A,428590242,N/A,320937200,N/A,0,428590242,428590242,107653042,N/A,0,107653042,2295583,33741725,0,33741725,-632066,76049736,-632066,76049736,-6988496,-82406166,-6988496,-82406166,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1254472,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.31,14147428,99,0,15.68001938996224,7.797297297297297,2.274826369328235,2.9812181247976253,244891978.67999998,1.3354333558091738,428590242,7.3371110488325115,29.21063949126491,27.975569500792158,NaN,19.923988483427642,0.429,N/A,-178945579.32000002,-0.8922780268198326,Financial Services,Insurance - Property & Casualty,107158,EQUITY,1854904.9799999997,12.82%,317637.797979798,0,0,1,0,1,0,0,0,1,1,0,1,0,0,20,2.417491575798656,27.417491575798657
OPBK,N/A,23567000,44583963,4664000,N/A,N/A,1.5699999999999998,208000,23359000,8901000,32468000,-28759000,3709000,N/A,44617823,208000,0,1.5699999999999998,-28759000,23567000,-28759000,23567000,32468000,3180000,0,N/A,N/A,2392715000,6995000,N/A,N/A,2614214000,N/A,2392715000,N/A,0,2614214000,2614214000,221499000,N/A,0,221499000,25788000,25788000,0,25788000,200160000,28005000,200160000,28005000,-8000,-228173000,-8000,-228173000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2976000,N/A,N/A,N/A,-324000,N/A,N/A,N/A,74414000,69750000,2221000,N/A,N/A,N/A,N/A,146097000,N/A,N/A,N/A,17331000,54613000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.26,14885614,231,0,635.4003774602319,9.0828025477707,0.958328731235807,10.802373825615465,212268855.64,1.0925722453363647,2614214000,0.9014946748812455,10.639777154750133,10.639777154750133,NaN,27.414685228532708,0.683,N/A,-2401945144.36,-647.5991222324077,Financial Services,Banks - Regional,28797,EQUITY,410645.22,11.01%,102021.64502164502,0,0,1,1,1,0,0,0,0,0,0,1,1,1,17,1.5191114605753713,24.51911146057537
PKBK,N/A,34089000,11810887,2120000,N/A,N/A,2.84,19000,34070000,10445000,44534000,94171000,138705000,N/A,11994570,19000,0,2.88,94171000,34089000,94171000,34089000,44534000,N/A,0,N/A,N/A,1857297000,5573000,N/A,N/A,2172134000,N/A,1857297000,N/A,0,2172134000,2172134000,314837000,N/A,0,314837000,40000,34129000,0,34129000,72586000,33628000,72586000,33628000,-13136000,-119350000,-13136000,-119350000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7557000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70261000,68141000,N/A,N/A,N/A,N/A,N/A,138705000,N/A,N/A,N/A,3625000,27232000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.81,11595553,108,0,24.576619444144047,8.735915492957746,0.9137606759370721,5.899233571657715,287685669.93,1.1695135457603172,2172134000,1.5693783164390411,10.827507567407897,10.827507567407897,NaN,23.453990209727397,0.547,N/A,-1884448330.07,-13.586015861504631,Financial Services,Banks - Regional,20450,EQUITY,507364.5,11.45%,315638.8888888889,0,0,1,1,1,0,0,0,0,0,0,1,0,1,17,2.414029149645211,24.41402914964521
REFI,N/A,35772917,42190835,932725,N/A,N/A,1.6999999999999997,0,35772917,0,35772917,19447653,55220570,N/A,43044646,0,0,1.71,19447653,35772917,19447653,35772917,35772917,N/A,0,N/A,N/A,117162485,N/A,49274644,N/A,427077164,N/A,117162485,N/A,0,427077164,427077164,309914679,N/A,0,309914679,0,35772917,0,35772917,23311958,24101247,23311958,24101247,22160104,-25253101,22160104,-25253101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55220570,54287845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19447651,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.13,21075298,N/A,0,64.78186842330675,7.723529411764708,0.8928865958620824,0.3780475496612408,276718662.74,3.6451699022942368,427077164,8.376218635749861,11.542827566421918,9.959348652465374,NaN,0,0.266,N/A,-101083857.25999999,-1.830547154076823,Real Estate,REIT - Mortgage,92021,EQUITY,1208235.73,12.95%,N/A,0,0,1,1,1,0,1,0,0,0,0,0,0,0,20,0,24
KEQU,83067000,11742000,5729000,N/A,202448000,N/A,3.9400000000000004,0,11742000,3770000,19667000,269718000,285515000,N/A,5972000,0,285000,4.1,63400000,12027000,269718000,12027000,15797000,N/A,75435000,36298000,35217000,45810000,23155000,35250000,78141000,113640000,35499000,117358000,22660000,1865000,189075000,189075000,69852000,15534000,71548000,71717000,-803000,11224000,285000,10939000,7981000,8667000,7981000,8667000,-15633000,-32281000,-15985000,-32281000,-352000,N/A,N/A,N/A,N/A,7616000,17063000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38,2866384,1239,0.2909374288566275,4.212388140728158,9.64467005076142,1.5187834404673926,1.636404199841042,108922592,2.4806810740013097,0,6.3609678698929,16.770082407239567,11.243654585058943,0,23.865290878014815,0.607,N/A,144172592,0.5049562790046057,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4529,EQUITY,172102,10.37%,9707.021791767555,1,0,0,0,1,0,1,0,1,0,1,1,1,1,15,0.184811441721852,23.184811441721852
AXR,N/A,10502000,10655000,0,N/A,N/A,1.9500000000000002,0,10502000,2410000,11236000,34711000,45947000,N/A,10759000,0,0,1.9700000000000002,34711000,10502000,33035000,10502000,12912000,N/A,0,N/A,N/A,4105000,2195000,23000,N/A,140133000,N/A,4105000,N/A,0,140133000,140133000,136028000,N/A,0,136028000,10502000,10502000,0,10502000,-9000,5006000,-9000,5006000,4484000,-513000,4484000,-513000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2337000,N/A,N/A,N/A,1680000,1680000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.85,5305199,49,0,22.85676975645853,9.666666666666666,0.7351648274619932,0.030177610491957538,100003001.15,34.13714981729598,140133000,7.494308977899566,7.720469315141,7.719164136978045,NaN,18.66480793060719,,N/A,-40106998.849999994,-0.8728970085098047,Real Estate,Real Estate - Development,3489,EQUITY,65767.65000000001,10.34%,214326.5306122449,0,0,1,1,1,0,1,0,0,0,0,1,0,1,15,2.166242934717863,23.166242934717864
PCB,N/A,35248000,14232730,5006000,N/A,N/A,2.41,798000,34450000,14429000,49677000,-46826000,2851000,N/A,14368135,1037000,0,2.42,-46826000,35248000,-46826000,35248000,49677000,N/A,0,N/A,N/A,2979005000,8604000,N/A,N/A,3363506000,N/A,2979005000,N/A,0,3363506000,3363506000,384501000,N/A,0,384501000,36286000,36286000,0,36286000,438813000,27886000,438813000,27886000,176434000,-290265000,176434000,-290265000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1584000,N/A,N/A,N/A,-9114000,N/A,239000,N/A,100415000,95409000,1038000,N/A,N/A,N/A,N/A,193990000,N/A,N/A,N/A,12334000,58066000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.205,14260754,270,0,1236.3381269729919,9.21369294605809,0.8235610377346223,7.7477171710866815,316660042.57,1.1290702768206162,3363506000,1.0479541288167762,9.167206327161697,9.167206327161697,NaN,29.045634800813254,0.508,N/A,-3046845957.43,-1068.6937767204488,Financial Services,Banks - Regional,10040,EQUITY,222938.19999999998,10.85%,130548.14814814815,0,0,1,1,1,0,0,0,0,0,0,1,0,1,16,1.7515950804207163,22.751595080420717
FNLC,N/A,31504000,11089580,2598000,N/A,N/A,2.8200000000000003,0,31504000,6673000,38177000,120361000,158538000,N/A,11204572,0,0,2.84,120361000,31504000,120361000,31504000,38177000,N/A,0,N/A,N/A,2923912000,N/A,95500000,N/A,3198478000,N/A,2923912000,N/A,0,3198478000,3198478000,274566000,N/A,0,274566000,32523000,32523000,0,32523000,21329000,33857000,21329000,33857000,-3530000,-58716000,-3530000,-58716000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6045000,N/A,N/A,N/A,-60000,N/A,N/A,N/A,73819000,71077000,1019000,N/A,N/A,N/A,N/A,158538000,N/A,N/A,N/A,17042000,49942000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.85,11219320,284,0,19.871576530547884,9.52127659574468,1.0971451017241756,10.649213668116227,301238742,1.0939036468949819,3198478000,0.984968475631222,11.474108228986838,8.513076045894516,NaN,17.47911045917699,0.6,N/A,-2801739258,-17.67235147409454,Financial Services,Banks - Regional,10846,EQUITY,291215.10000000003,10.50%,110929.57746478873,0,0,1,0,1,0,0,0,0,0,0,1,1,1,16,1.5988733016468182,22.59887330164682
CFFI,N/A,26171000,3212888,11500000,N/A,N/A,8.079999999999998,0,26171000,5908000,32212000,104795000,137007000,100827000,3212888,0,133000,8.079999999999998,104795000,26304000,104795000,26304000,32212000,3968000,0,N/A,N/A,2457405000,39259000,N/A,N/A,2711292000,N/A,2457405000,N/A,604000,2711292000,2711292000,253283000,N/A,0,253887000,5066000,31370000,133000,31237000,125674000,57755000,125674000,57755000,46898000,-136531000,46898000,-136531000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4032000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,103792000,92292000,N/A,N/A,N/A,N/A,N/A,148621000,N/A,N/A,N/A,33215000,93295000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.2,3238232,545,0,19.199019028224836,8.811881188118814,0.908128885685364,9.67912890380366,230562118.4,1.1033150823734794,2711292000,0.9701647775304172,10.360514717177328,10.360514717177328,NaN,18.34099093505526,0.345,N/A,-2480729881.6,-18.106592229594106,Financial Services,Banks - Regional,2241,EQUITY,159559.2,11.35%,48264.220183486235,0,0,1,0,1,0,0,0,0,0,0,1,0,1,17,0.8587972600725238,21.858797260072524
