Ticker,fixed_assets,other_current_liabilities,other_current_assets,equity_attributable_to_parent,inventory,liabilities_and_equity,noncurrent_assets,noncurrent_liabilities,long_term_debt,current_liabilities,other_noncurrent_liabilities,assets,other_noncurrent_assets,liabilities,current_assets,equity,accounts_payable,equity_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss,net_cash_flow_from_operating_activities,net_cash_flow_from_investing_activities,net_cash_flow,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_financing_activities,net_cash_flow_from_operating_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_investing_activities_continuing,operating_income_loss,net_income_loss_attributable_to_noncontrolling_interest,other_operating_expenses,cost_of_revenue,operating_expenses,income_tax_expense_benefit,depreciation_and_amortization,net_income_loss,diluted_earnings_per_share,net_income_loss_attributable_to_parent,benefits_costs_expenses,provision_for_loan_lease_and_other_losses,revenues,basic_average_shares,costs_and_expenses,gross_profit,income_loss_from_continuing_operations_before_tax,preferred_stock_dividends_and_other_adjustments,diluted_average_shares,basic_earnings_per_share,nonoperating_income_loss,income_loss_from_continuing_operations_after_tax,participating_securities_distributed_and_undistributed_earnings_loss_basic,net_income_loss_available_to_common_stockholders_basic,exchange_gains_losses,research_and_development,income_loss_from_equity_method_investments,interest_expense_operating,income_loss_before_equity_method_investments,income_loss_from_discontinued_operations_net_of_tax,selling_general_and_administrative_expenses,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,accounts_receivable,intangible_assets,wages,undistributed_earnings_loss_allocated_to_participating_securities_basic,income_tax_expense_benefit_deferred,income_tax_expense_benefit_current,interest_income_expense_operating_net,interest_income_expense_after_provision_for_losses,other_comprehensive_income_loss_attributable_to_parent,cash,common_stock_dividends,redeemable_noncontrolling_interest,temporary_equity,temporary_equity_attributable_to_parent,interest_and_dividend_income_operating,cost_of_revenue_goods,prepaid_expenses,cost_of_revenue_services,net_cash_flow_from_investing_activities_discontinued,noninterest_expense,noninterest_income,interest_and_debt_expense,commitments_and_contingencies,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_loss_from_discontinued_operations_net_of_tax_during_phase_out,noncurrent_prepaid_expenses,redeemable_noncontrolling_interest_preferred,net_income_loss_attributable_to_redeemable_noncontrolling_interest,interest_payable,redeemable_noncontrolling_interest_common,other_operating_income_expenses,long_term_investments,net_cash_flow_from_financing_activities_discontinued,stockPrice,totalShares,totalEmployees,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,profitPerEmployee,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,profitPerEmployeeCheck,totalPasses
AXR,2195000,N/A,N/A,136028000,N/A,140133000,0,0,23000,4105000,N/A,140133000,N/A,4105000,140133000,136028000,N/A,0,0,10502000,10502000,10502000,5006000,-513000,4484000,-9000,-9000,5006000,4484000,-513000,11236000,0,N/A,N/A,34712000,2410000,N/A,10502000,1.9500000000000002,10502000,33036000,0,45948000,10655000,34712000,N/A,12912000,0,10759000,1.9700000000000002,N/A,10502000,0,10502000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2337000,N/A,1680000,1680000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.85,5305199,49,0,22.856272307826238,9.666666666666666,0.7351648274619932,0.030177610491957538,100003001.15,34.13714981729598,140133000,7.494308977899566,7.720469315141,7.719164136978045,NaN,18.66480793060719,,N/A,-40106998.849999994,-0.8728780110124488,Real Estate,Real Estate - Development,3489,EQUITY,65767.65000000001,1.532367397702639,214326.5306122449,0,0,1,1,1,0,1,0,0,0,0,1,0,1,-2,2.166242934717863,6.166242934717863
CLW,1015900000,200800000,43000000,783000000,283200000,1561400000,1073500000,546100000,273500000,232400000,272600000,1561400000,54900000,778500000,487900000,783000000,N/A,0,0,100000,142400000,142400000,-27800000,873500000,-1100000,-846800000,-846800000,-36300000,-8000000,875100000,-65200000,100000,71900000,1443000000,178300000,-16000000,N/A,142300000,8.4,142200000,1218700000,N/A,1556100000,16229724,1218700000,113100000,337400000,0,N/A,8.4,-26600000,-75800000,0,142200000,N/A,N/A,N/A,19200000,N/A,218100000,106400000,8500000,6900000,161700000,2700000,31600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.99,16038337,2200,0.07268170426065163,9.144656513077566,2.1416666666666666,0.3685396380508366,0.9942528735632183,288529682.63,2.0993975903614457,0,9.113615985653901,18.173690932311622,-7.174633222905821,0,-4.742145820983995,0.215,N/A,562029682.63,0.3611783835421888,Basic Materials,Paper & Paper Products,125590,EQUITY,2259364.0999999996,2.597058818428759,64681.818181818184,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1.0965174390280197,6.09651743902802
HBB,33172000,29158000,116446000,164048000,174801000,392382000,101135000,92718000,N/A,135616000,N/A,392382000,67963000,228334000,291247000,164048000,106458000,0,0,31264000,31264000,31264000,15597000,-3352000,-6360000,-19098000,-19098000,15597000,-6853000,-3352000,34704000,0,N/A,455747000,116979000,1680000,N/A,31910000,2.3000000000000003,31910000,573840000,N/A,607430000,13499000,573840000,151683000,33590000,0,13517000,2.3000000000000003,N/A,31910000,0,31910000,493000,N/A,N/A,N/A,N/A,N/A,116668000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-646000,N/A,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.21,13443152,700,0.24971272409989628,5.253280213357918,7.047826086956522,1.3283520306251828,1.3918731103091777,217913493.92000002,2.1475858305804625,0,8.132381199953107,19.45162391495172,19.45162391495172,0,5.001488538255433,0.138,N/A,217913493.92000002,0.35874667685165373,Consumer Cyclical,"Furnishings, Fixtures & Appliances",11362,EQUITY,184178.02000000002,1.8274828156183252,45585.71428571428,1,0,0,0,1,0,1,0,1,1,1,0,0,1,-2,0.816873644260536,5.816873644260536
OPBK,6995000,N/A,N/A,221499000,N/A,2614214000,0,0,N/A,2392715000,N/A,2614214000,N/A,2392715000,2614214000,221499000,N/A,0,0,25788000,25788000,25788000,28005000,-228173000,-8000,200160000,200160000,28005000,-8000,-228173000,32468000,0,N/A,N/A,-28759000,8901000,3180000,23567000,1.5699999999999998,23567000,-28759000,4664000,3709000,44583963,-28759000,N/A,32468000,208000,44617823,1.5699999999999998,N/A,23567000,208000,23359000,N/A,N/A,N/A,2976000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-324000,N/A,74414000,69750000,2221000,N/A,N/A,N/A,N/A,N/A,146097000,N/A,N/A,N/A,N/A,54613000,17331000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.26,14885614,231,0,635.4003774602319,9.0828025477707,0.958328731235807,10.802373825615465,212268855.64,1.0925722453363647,2614214000,0.9014946748812455,10.639777154750133,10.639777154750133,NaN,27.414685228532708,0.683,N/A,-2401945144.36,-647.5991222324077,Financial Services,Banks - Regional,28797,EQUITY,410645.22,1.591725051800753,102021.64502164502,0,0,1,1,1,0,0,0,0,0,0,1,1,1,-2,1.5191114605753713,5.519111460575371
PNRG,1735000,18155000,22794000,213785000,N/A,332018000,307982000,72964000,N/A,45269000,N/A,332018000,306247000,118233000,24036000,213785000,27114000,0,0,0,25202000,25202000,108449000,-88087000,2107000,-18255000,-18255000,108449000,2107000,-88087000,32943000,0,73843000,5856000,159736000,7741000,85893000,25202000,10.45,25202000,165592000,N/A,198535000,1651848,165592000,192679000,32943000,0,2415722,15.3,N/A,25202000,0,25202000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1242000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,175.64,1635000,78,0.9705039413705392,12.693983428614603,16.807655502392343,1.343271978857263,0.5530462848188601,287171400,0.5309593761735404,1242000,7.590552319452559,11.78847907944898,11.78847907944898,0,23.49816349452084,-0.081,N/A,285929400,1.4401964389150528,Energy,Oil & Gas E&P,108133,EQUITY,18992480.119999997,1.0250416065309376,323102.5641025641,1,1,1,0,1,0,0,0,0,0,1,1,0,0,-3,2.426758104137201,5.4267581041372015
KINS,7861007,N/A,N/A,107653042,N/A,428590242,0,0,4752684,320937200,N/A,428590242,N/A,320937200,428590242,107653042,N/A,0,0,2295583,33741725,33741725,76049736,-82406166,-6988496,-632066,-632066,76049736,-6988496,-82406166,39270365,0,158783453,N/A,161278762,7824223,2495309,31446142,2.25,31446142,161278762,N/A,200549127,14186139,161278762,N/A,39270365,0,14477519,2.3200000000000003,N/A,31446142,0,31446142,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1254472,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.31,14147428,99,0,15.68001938996224,7.6933333333333325,2.274826369328235,2.9812181247976253,244891978.67999998,1.3354333558091738,428590242,7.3371110488325115,29.21063949126491,27.975569500792158,NaN,19.923988483427642,0.429,N/A,-178945579.32000002,-0.8922780268198326,Financial Services,Insurance - Property & Casualty,107158,EQUITY,1854904.9799999997,1.7475905410935644,317637.797979798,0,0,1,0,1,0,0,0,1,1,0,1,0,0,-2,2.417491575798656,5.417491575798656
PKBK,5573000,N/A,N/A,314837000,N/A,2172134000,0,0,N/A,1857297000,N/A,2172134000,N/A,1857297000,2172134000,314837000,N/A,0,0,7818000,34129000,34129000,33628000,-119350000,-13136000,72586000,72586000,33628000,-13136000,-119350000,44534000,0,N/A,N/A,94171000,10445000,N/A,34089000,2.8400000000000003,34089000,94171000,2120000,138705000,35447495,94171000,N/A,44534000,19000,35977920,2.88,N/A,34089000,19000,34070000,N/A,N/A,N/A,7557000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70261000,68141000,N/A,N/A,N/A,N/A,N/A,N/A,138705000,N/A,N/A,N/A,N/A,27231000,3624000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.81,11595553,108,0,24.576619444144047,8.735915492957744,0.9137606759370721,5.899233571657715,287685669.93,1.1695135457603172,2172134000,1.5693783164390411,10.827507567407897,10.827507567407897,NaN,23.453990209727397,0.547,N/A,-1884448330.07,-13.586015861504631,Financial Services,Banks - Regional,20450,EQUITY,507364.5,1.6286603989964934,315638.8888888889,0,0,1,1,1,0,0,0,0,0,0,1,0,1,-2,2.414029149645211,5.414029149645211
MFIN,N/A,N/A,N/A,397448000,N/A,2900387000,0,0,215698000,2403510000,N/A,2900387000,N/A,2403510000,2900387000,496877000,N/A,99429000,7958000,-169000,40819000,52292000,123520000,-130483000,-36951000,-29988000,-29988000,123520000,-36951000,-130483000,77656000,7958000,230301000,N/A,232500000,25195000,2200000,52461000,1.71,40988000,232500000,82705000,310156000,45502402,232500000,N/A,77656000,0,48465775,1.8100000000000003,N/A,52461000,0,40988000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18063000,N/A,N/A,N/A,N/A,212481000,129776000,N/A,N/A,N/A,N/A,N/A,N/A,310156000,N/A,N/A,N/A,N/A,80218000,28099000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.57,23279435,174,0,16.91439146751957,6.181286549707603,0.4952204025342288,4.837233359563836,246063627.95000002,1.2067297410869937,2900387000,1.8087586242801392,10.558146181046817,7.362172402904957,NaN,32.44437004223756,0.651,N/A,-2438625372.05,-7.862576806671482,Financial Services,Credit Services,32373,EQUITY,342182.61,1.9426200309859352,301500,0,0,1,0,1,0,0,0,0,0,0,1,1,1,-2,2.3883536589601135,5.3883536589601135
OFS,N/A,N/A,N/A,136314000,N/A,378150000,0,0,N/A,241836000,N/A,378150000,N/A,241836000,378150000,136314000,N/A,0,0,0,3230000,3230000,15355000,15270000,0,-30625000,-30625000,15355000,0,15270000,N/A,0,N/A,N/A,N/A,N/A,N/A,3230000,1.04,3230000,0,N/A,13764000,40194234,0,N/A,13764000,0,40194234,1.04,N/A,3230000,0,3230000,N/A,N/A,N/A,16179000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.6,13398078,53,0,23.46701540249927,4.4230769230769225,0.45212640521149694,1.7741097759584488,61631158.8,1.5636629782166427,378150000,0.8541584027502315,2.3695291752864707,2.3695291752864707,NaN,0,0.902,N/A,-316518841.2,-22.996137837837836,Financial Services,Asset Management,51593,EQUITY,237327.8,2.204660826955256,60943.3962264151,0,0,1,1,1,0,1,0,0,0,0,0,0,1,-1,1.0453182886000283,5.045318288600028
GENC,10641000,5740000,152460000,209881000,52872000,220156000,14824000,1996000,N/A,8279000,N/A,220156000,4183000,10275000,205332000,209881000,2539000,0,0,0,15192000,15192000,122000,-1028000,0,906000,906000,122000,0,-1028000,15480000,0,N/A,84999000,17048000,7085000,N/A,15192000,1.04,15192000,95250000,N/A,117527000,N/A,95250000,32528000,22277000,0,N/A,1.04,6797000,15192000,0,15192000,N/A,2893000,N/A,N/A,N/A,N/A,14155000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.6,14657702,318,0.27677044423834524,12.926391382405743,12.115384615384615,0.8799607644331788,0.04895631333946379,184687045.2,24.8015460804445,0,6.900561420083941,7.238387467183785,7.238387467183785,8.89387604525332,31.80410288638506,0.499,N/A,184687045.2,1.5714435423349526,Industrials,Farm & Heavy Construction Machinery,17212,EQUITY,216871.19999999998,1.3178719062254456,47773.58490566038,1,0,1,0,1,0,1,0,0,0,1,1,0,1,-3,0.8511826163134992,4.8511826163134995
LOAN,N/A,N/A,N/A,43316872,N/A,59988878,0,0,N/A,16672006,N/A,59988878,N/A,16672006,59988878,43316872,N/A,0,0,0,5294668,5294668,5076884,10337959,32419,-15382424,-15382424,5076884,32419,10337959,5277878,0,N/A,N/A,3745840,N/A,N/A,5294668,0.47,5294668,3727840,N/A,9023718,22877300,3727840,N/A,5295878,0,22877300,0.47,N/A,5294018,0,5294668,N/A,N/A,N/A,1796644,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.88,11438651,6,0,58.6750162183703,10.382978723404255,1.2886576131351313,0.3848848088569276,55820616.879999995,3.5981799670657506,59988878,8.826082728201717,12.223107892001066,12.22160732196914,NaN,0,0.26,N/A,-4168261.120000005,-0.46192280388194806,Real Estate,REIT - Mortgage,15577,EQUITY,76015.76,1.464119600087093,882444.6666666666,0,0,1,1,1,0,1,0,0,0,0,0,0,1,-3,2.784491143659575,4.784491143659575
WEYS,27334000,13484000,123996000,251327000,67178000,304044000,112870000,31536000,N/A,21181000,N/A,304044000,85536000,52717000,191174000,251327000,7697000,0,0,1366000,25751000,25751000,33682000,-622000,-1000000,-34060000,-34060000,33682000,-1000000,-622000,30518000,0,N/A,155933000,93392000,9146000,N/A,24385000,2.54,24385000,246312000,N/A,279843000,9508000,246312000,123910000,33531000,0,9608000,2.58,N/A,24385000,0,24385000,N/A,N/A,N/A,N/A,N/A,N/A,93392000,N/A,N/A,N/A,N/A,N/A,N/A,2939000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.33,9548388,580,0.4427839895941653,8.71381453171957,12.334645669291337,1.1902859463567383,0.2097546224639613,299150996.03999996,9.025730607620037,0,8.020220757521937,9.702499134593577,9.702499134593577,0,27.276251826667856,0.902,N/A,299150996.03999996,1.068995815653777,Consumer Cyclical,Footwear & Accessories,7310,EQUITY,229022.3,1.3010843541007207,42043.10344827586,1,1,0,0,1,0,1,0,0,0,1,1,0,1,-3,0.7601131915732656,4.760113191573265
PCB,8604000,N/A,N/A,384501000,N/A,3363506000,0,0,N/A,2979005000,N/A,3363506000,N/A,2979005000,3363506000,384501000,N/A,0,0,36286000,36286000,36286000,27886000,-290265000,176434000,438813000,438813000,27886000,176434000,-290265000,49677000,0,N/A,N/A,-46826000,14429000,N/A,35248000,2.4,35248000,-46826000,5006000,2851000,28447746,-46826000,N/A,49677000,799000,28704802,2.42,N/A,35248000,1039000,34449000,N/A,N/A,N/A,1584000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,239000,-9114000,N/A,100415000,95409000,1038000,N/A,N/A,N/A,N/A,N/A,193990000,N/A,N/A,N/A,N/A,58066000,12334000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.205,14260754,270,0,1236.3381269729919,9.252083333333333,0.8235610377346223,7.7477171710866815,316660042.57,1.1290702768206162,3363506000,1.0479541288167762,9.167206327161697,9.167206327161697,NaN,29.045634800813254,0.508,N/A,-3046845957.43,-1068.6937767204488,Financial Services,Banks - Regional,10040,EQUITY,222938.19999999998,1.5741580869131488,130548.14814814815,0,0,1,1,1,0,0,0,0,0,0,1,0,1,-2,1.7515950804207163,4.751595080420716
PED,N/A,4341000,N/A,115368000,N/A,135888000,119735000,5884000,N/A,14636000,N/A,135888000,N/A,20520000,16153000,115368000,10295000,0,0,0,9559000,9559000,17124000,-10758000,7062000,696000,696000,17124000,7062000,-10758000,-4285000,0,13027000,N/A,36362000,-13329000,16351000,9559000,0.11,9559000,2500000,N/A,-6299884,183386464,2500000,N/A,-3770000,0,183388090,0.11,N/A,-8221884,0,9559000,N/A,N/A,N/A,N/A,N/A,N/A,6984000,N/A,N/A,0,N/A,N/A,N/A,-590751,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.554,95519352,14,0,-151.7329525432532,5.036363636363637,0.4586862995631371,0.17786561264822134,52917721.008,1.1036485378518721,16153000,7.03446956316967,8.285659801678108,-7.126659038901602,NaN,353.55437665782495,0.319,N/A,36764721.008,N/A,Energy,Oil & Gas E&P,37376,EQUITY,20706.304,2.108950424975609,682785.7142857143,0,0,0,0,1,0,0,0,0,0,0,1,0,1,-1,2.722258863517,4.722258863517
FNLC,N/A,N/A,N/A,274566000,N/A,3198478000,0,0,95500000,2923912000,N/A,3198478000,N/A,2923912000,3198478000,274566000,N/A,0,0,32523000,32523000,32523000,33857000,-58716000,-3530000,21329000,21329000,33857000,-3530000,-58716000,38177000,0,N/A,N/A,120361000,6673000,N/A,31504000,2.8200000000000003,31504000,120361000,2598000,158538000,22178088,120361000,N/A,38177000,0,11204572,2.84,N/A,31504000,0,31504000,N/A,N/A,N/A,6045000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-60000,N/A,73819000,71077000,1019000,N/A,N/A,N/A,N/A,N/A,158538000,N/A,N/A,N/A,N/A,49942000,17042000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.85,11219320,284,0,19.871576530547884,9.52127659574468,1.0971451017241756,10.649213668116227,301238742,1.0939036468949819,3198478000,0.984968475631222,11.474108228986838,8.513076045894516,NaN,17.47911045917699,0.6,N/A,-2801739258,-17.67235147409454,Financial Services,Banks - Regional,10846,EQUITY,291215.10000000003,1.5468264016678321,110929.57746478873,0,0,1,0,1,0,0,0,0,0,0,1,1,1,-2,1.5988733016468182,4.598873301646818
ESCA,21716000,N/A,56265000,172327000,80662000,232460000,91183000,17283000,N/A,42850000,N/A,232460000,43831000,60133000,141277000,172327000,N/A,0,0,0,12698000,12698000,28408000,-3413000,3083000,-21912000,-21912000,28408000,3083000,-3413000,18087000,0,N/A,178299000,45154000,4585000,N/A,12698000,0.92,12698000,224257000,N/A,241540000,27510000,224257000,63241000,17283000,0,27788000,0.9299999999999999,N/A,12698000,0,12698000,N/A,N/A,N/A,968000,N/A,N/A,42882000,N/A,N/A,N/A,25636000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4350000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.38,13803745,457,0.2618241285087356,5.2571002732466665,14.543478260869566,1.071765353659032,0.3489470599499788,184694108.10000002,3.2970128354725787,4350000,5.462445151854083,7.36854932773158,7.36854932773158,0,26.528959092750103,0.73,N/A,180344108.10000002,0.7466428256189452,Consumer Cyclical,Leisure,11058,EQUITY,147956.04,1.1504052528060578,27785.557986870896,1,0,0,0,1,0,1,0,0,0,1,1,1,1,-3,0.5176083107809379,4.517608310780938
FDBC,45422000,N/A,N/A,229247000,N/A,2736750000,0,0,N/A,2507503000,N/A,2736750000,N/A,2507503000,2736750000,229247000,N/A,0,0,29961000,29961000,29961000,39148000,-107754000,21992000,90598000,90598000,39148000,21992000,-107754000,30592000,0,N/A,N/A,86222000,4500000,N/A,26092000,4.58,26092000,86222000,1205000,116814000,5764194,86222000,N/A,30592000,0,5798194,4.529999999999999,N/A,26092000,0,26092000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69765000,68600000,3869000,N/A,N/A,N/A,N/A,N/A,116814000,N/A,N/A,N/A,N/A,58291000,20283000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.26,5767286,320,0,22.336363792011234,9.882096069868995,1.1386293576797077,10.93799700759443,261027364.35999998,1.0914244170395808,2736750000,0.9533936238238786,11.381610228269071,11.381610228269071,NaN,14.709728033472802,0.96,N/A,-2475722635.64,-21.193715099559984,Financial Services,Banks - Regional,2928,EQUITY,132521.28,1.5113256308154255,81537.5,0,0,1,1,1,0,0,0,0,0,0,1,0,1,-2,1.3064314060017375,4.306431406001737
FCAP,13932000,N/A,N/A,132441000,N/A,1235477000,0,0,N/A,1102928000,N/A,1235477000,N/A,1102928000,1235477000,132549000,N/A,108000,9000,9321000,24071000,24080000,20116000,-24685000,22238000,26807000,26807000,20116000,22238000,-24685000,18037000,9000,N/A,N/A,-10927000,3275000,1119000,14759000,4.4,14750000,0,794000,18511000,4863161,-8769000,N/A,18511000,0,3356799161,4.4,N/A,14759000,0,14750000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-101000,N/A,40357000,39563000,N/A,N/A,N/A,N/A,N/A,N/A,55236000,N/A,N/A,N/A,N/A,29286000,8106000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.87,3347627,212,0,79.7309707741343,13.60681818181818,1.5120629238243968,8.320907739779251,200422428.48999998,1.1201791957407918,1235477000,1.1945993328892404,11.13475016786245,11.13475016786245,NaN,17.69218302630868,0.654,N/A,-1035054571.51,-55.91564861487764,Financial Services,Banks - Regional,6119,EQUITY,366344.52999999997,1.2104373787851463,69617.92452830188,0,0,1,1,1,0,0,0,0,0,0,1,1,1,-3,1.161494492303378,4.161494492303378
MRBK,12413000,N/A,N/A,188029000,N/A,2541130000,0,0,N/A,2353101000,N/A,2541130000,N/A,2353101000,2541130000,188029000,N/A,0,0,1361000,21612000,21612000,29772000,-164509000,7642000,142379000,142379000,29772000,7642000,-164509000,26701000,0,N/A,N/A,-20537000,6450000,N/A,20251000,1.77,20251000,-20537000,15437000,6164000,11267000,-20537000,N/A,26701000,0,11503000,1.8,N/A,20251000,0,20251000,N/A,N/A,N/A,10238000,N/A,N/A,N/A,N/A,N/A,N/A,2614000,N/A,N/A,-1842000,N/A,83350000,67913000,1361000,N/A,N/A,N/A,N/A,N/A,163516000,N/A,N/A,N/A,N/A,83057000,41845000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.62,11517456,322,0,328.5366645035691,9.954802259887007,1.0792886986581858,12.514564242749788,202937574.72,1.0799068973239994,2541130000,0.796928925320625,10.770147158151136,10.770147158151136,NaN,24.156398636755178,0.824,N/A,-2338192425.28,-379.330373990915,Financial Services,Banks - Regional,41280,EQUITY,727353.6000000001,1.5043258347703143,62891.30434782609,0,0,1,1,1,0,0,0,0,0,0,1,0,1,-2,1.0722107615416798,4.07221076154168
FVCB,723000,N/A,N/A,249804000,N/A,2319052000,0,0,N/A,2069248000,N/A,2319052000,N/A,2069248000,2319052000,249804000,N/A,0,0,2090000,23401000,23401000,21116000,-20116000,4866000,3866000,3866000,21116000,4866000,-20116000,27206000,0,N/A,N/A,-25637000,5895000,N/A,21311000,1.17,21311000,-25637000,690000,1569000,18057150,-25637000,N/A,27206000,0,18396937,1.17,N/A,21311000,0,21311000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61758000,61078000,2090000,N/A,N/A,N/A,N/A,N/A,117094000,N/A,N/A,N/A,N/A,37036000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.9,18074814,114,0,1358.2536647546208,11.88034188034188,1.0057481649613296,8.283486253222527,251239914.6,1.1207221174069033,2319052000,0.9189530894520691,8.531088373284655,8.531088373284655,NaN,21.66801440858634,0.417,N/A,-2067812085.4,-1317.917199107712,Financial Services,Banks - Regional,8748,EQUITY,121597.2,1.3362737275831333,186938.59649122806,0,0,1,1,1,0,0,0,0,0,0,1,0,1,-3,2.0618704628182813,4.061870462818281
