Ticker,participating_securities_distributed_and_undistributed_earnings_loss_basic,benefits_costs_expenses,diluted_average_shares,net_income_loss_attributable_to_parent,operating_expenses,costs_and_expenses,net_income_loss_available_to_common_stockholders_basic,cost_of_revenue,net_income_loss_attributable_to_noncontrolling_interest,diluted_earnings_per_share,income_tax_expense_benefit,income_loss_from_continuing_operations_before_tax,gross_profit,interest_expense_operating,basic_earnings_per_share,income_loss_from_continuing_operations_after_tax,preferred_stock_dividends_and_other_adjustments,basic_average_shares,other_operating_expenses,selling_general_and_administrative_expenses,revenues,net_income_loss,undistributed_earnings_loss_allocated_to_participating_securities_basic,operating_income_loss,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_investing_activities,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_financing_activities,net_cash_flow,comprehensive_income_loss,other_comprehensive_income_loss,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_parent,current_liabilities,other_current_liabilities,fixed_assets,equity_attributable_to_parent,noncurrent_liabilities,equity_attributable_to_noncontrolling_interest,assets,other_current_assets,equity,accounts_payable,current_assets,liabilities_and_equity,noncurrent_assets,other_noncurrent_assets,inventory,liabilities,accounts_receivable,nonoperating_income_loss,research_and_development,intangible_assets,interest_income_expense_operating_net,income_tax_expense_benefit_deferred,noninterest_expense,noninterest_income,provision_for_loan_lease_and_other_losses,interest_income_expense_after_provision_for_losses,interest_and_dividend_income_operating,common_stock_dividends,income_tax_expense_benefit_current,income_loss_before_equity_method_investments,other_operating_income_expenses,prepaid_expenses,temporary_equity,redeemable_noncontrolling_interest,net_income_loss_attributable_to_redeemable_noncontrolling_interest,wages,exchange_gains_losses,temporary_equity_attributable_to_parent,net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_loss_from_equity_method_investments,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,other_noncurrent_liabilities,long_term_debt,depreciation_and_amortization,net_cash_flow_from_operating_activities_discontinued,net_cash_flow_discontinued,income_loss_from_discontinued_operations_net_of_tax,cash,noncurrent_prepaid_expenses,net_cash_flow_from_investing_activities_discontinued,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
FFIC,0,78186000,59408000,26011000,78186000,78186000,26011000,N/A,0,0.87,9333000,35344000,N/A,N/A,0.87,26011000,0,N/A,N/A,N/A,113530000,26011000,N/A,35344000,706434000,-671716000,-671716000,31999000,66717000,31999000,706434000,66717000,23863000,-2148000,0,23863000,N/A,8613995000,N/A,18544000,666891000,0,0,9280886000,N/A,666891000,N/A,9280886000,9280886000,0,N/A,N/A,8613995000,N/A,N/A,N/A,N/A,176861000,2892000,158370000,20979000,4126000,172735000,454085000,0.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5809000,N/A,N/A,N/A,N/A,N/A,N/A,14.33,33659067,0,22.911124812824806,16.471264367816094,0.723258268757563,12.916646048604644,482334430.11,1.0774194784185502,9280886000,0.2802641902939008,3.900337536418995,3.900337536418995,NaN,26.406179266636485,0.815,N/A,-8798551569.89,-77.49979362186205,Financial Services,Banks - Regional,69321,EQUITY,993369.93,6.07%,0,0,1,1,1,-10,0,0,0,0,0,1,0,1,7,2
LUNRW,143000,138839000,67072014,-55400000,72202000,72202000,-55543000,N/A,-25011000,-0.83,50000,-80361000,N/A,N/A,-0.83,-80411000,143000,67072014,N/A,N/A,58478000,-80411000,N/A,-13724000,77286000,-1392000,-1392000,-17920000,57974000,-17920000,77286000,57974000,-80411000,0,0,-80411000,N/A,95314000,N/A,17170000,-496809000,134021000,1456000,224798000,N/A,-495353000,N/A,168267000,224798000,56531000,39361000,N/A,229335000,N/A,-66637000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,490816000,484973000,-25679000,N/A,N/A,5843000,668000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.08,N/A,0,-137.5064126680119,0,NaN,0,NaN,1.765396479006232,168267000,-35.770336035018104,0,0,NaN,-0.06221923569890868,,N/A,NaN,NaN,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MOV,0,625109000,45224000,23807000,330694000,625109000,23807000,301278000,957000,1.04,8456000,33220000,357051000,508000,1.07,24764000,0,44560000,N/A,330694000,658329000,24764000,N/A,26357000,-36043000,-14615000,-14615000,28783000,-21875000,28783000,-36043000,-21875000,33360000,8596000,1013000,32347000,N/A,121826000,79856000,20480000,503583000,137626000,2841000,765876000,351258000,506424000,29429000,520187000,765876000,245689000,225209000,168929000,259452000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12541000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9326000,N/A,N/A,N/A,N/A,N/A,N/A,19.31,22142856,0.5423595193284817,3.7616450133595816,18.56730769230769,0.8443094114023031,0.5123216909151225,427578549.35999995,4.269917751547289,0,3.2334215982743943,4.889973618943809,4.889973618943809,0,25.454545454545453,0.99,N/A,427578549.35999995,0.6494906792196606,Consumer Cyclical,Luxury Goods,63392,EQUITY,1224099.52,5.39%,1,1,0,0,1,-10,1,0,0,0,1,1,0,0,5,1
FC,0,258562000,40106000,19732000,192316000,258562000,19732000,66415000,0,1.47,9625000,29357000,221504000,956000,1.5,19732000,0,39464000,13378000,178938000,287919000,19732000,N/A,29188000,-27177000,-10324000,-10324000,56964000,19463000,56964000,-27177000,19463000,19698000,19698000,0,19698000,N/A,143538000,137577000,8733000,80647000,15721000,0,239906000,134960000,80647000,5961000,138788000,239906000,101118000,55222000,3828000,159259000,N/A,N/A,N/A,37163000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.98,13094424,0.7693274844661172,6.853316384121923,21.75510204081633,5.192501637010676,1.9747665753220827,418759679.52,0.9669077178168848,0,8.224888081165123,24.46712214961499,24.46712214961499,0,32.78604762066969,1.291,N/A,418759679.52,1.4544357250476696,Consumer Defensive,Education & Training Services,29882,EQUITY,955626.36,4.60%,1,1,0,0,0,-10,0,0,1,1,1,1,0,1,4,1
DDT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1236733000,N/A,1030690000,1963395000,932934000,0,4133062000,N/A,1963395000,N/A,2942301000,4133062000,1190761000,160071000,N/A,2169667000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.03,N/A,0,NaN,0,NaN,1.1050588394082699,NaN,2.3790915258184264,2942301000,0,0,0,NaN,NaN,,N/A,NaN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GCBC,0,82805000,51080484,26344000,82805000,82805000,26344000,N/A,0,1.54,1437000,27781000,N/A,-20028000,1.54,26344000,0,51080484,N/A,N/A,110586000,26344000,N/A,27781000,199804000,-233549000,-233549000,24108000,-9637000,24108000,199804000,-9637000,27472000,27472000,0,27472000,1128000,2747322000,N/A,15416000,218449000,0,0,2965771000,N/A,218449000,N/A,2965771000,2965771000,0,N/A,N/A,2747322000,N/A,N/A,N/A,N/A,52356000,-2057000,38067000,14743000,1251000,51105000,110586000,N/A,N/A,N/A,1844000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.9,17026828,0,23.822183639882084,16.818181818181817,2.0187542410356647,12.576491538070671,440994845.2,1.0795134316254156,2965771000,0.8882681771451674,12.059565390548824,12.059565390548824,NaN,5.172599978402506,0.42,N/A,-2524776154.8,-22.83088415170094,Financial Services,Banks - Regional,6056,EQUITY,156850.4,5.95%,0,0,1,1,0,-10,0,0,0,0,0,0,0,1,6,-1
ALNT,0,122500000,16605000,2101000,32648000,122500000,2101000,85949000,0,0.13,612000,2713000,39264000,N/A,0.13,2101000,0,16574000,N/A,N/A,125213000,2101000,N/A,6616000,-5629000,-1575000,-1575000,12081000,4877000,12081000,-5629000,5826000,6543000,6543000,0,6543000,4012000,61186000,18844000,68396000,272867000,262382000,0,596435000,133249000,272867000,28894000,250854000,596435000,345581000,277185000,117605000,323568000,N/A,-3903000,N/A,N/A,N/A,N/A,N/A,N/A,118000,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13448000,949000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.88,16845378,0.31357766366112144,1.6779407888957216,191.38461538461536,1.5359607597840705,1.1858084707934635,419113004.64,4.099859444971072,0,0.3522596762430105,0.7699721842509355,0.7699721842509355,0,22.558053814964985,1.593,N/A,419113004.64,3.3472004076254063,Technology,Electronic Components,33251,EQUITY,827284.88,0.52%,1,0,0,0,0,-10,1,0,0,0,1,1,0,1,-4,-9
CDXC,0,0,228604000,1485000,55879000,91221000,1485000,35342000,0,0.01,N/A,91668000,56326000,N/A,0.01,1485000,0,75635000,50019000,N/A,91668000,1485000,N/A,447000,1545000,-95000,-95000,4175000,5625000,4175000,1545000,5625000,1485000,0,0,1485000,N/A,17699000,10796000,N/A,34369000,4454000,0,56522000,41590000,34369000,6903000,52134000,56522000,4388000,3991000,10544000,22153000,N/A,N/A,5860000,397000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.64,75538787,0.6144565169961165,1.6199764367063754,564,12.39601846664145,0.6445634147051121,426038758.67999995,2.945590146335951,0,2.6272955663281556,4.320754168000232,4.320754168000232,10.40372119447502,0,2.213,N/A,426038758.67999995,4.647627947375311,Consumer Defensive,Packaged Foods,341131,EQUITY,1923978.8399999999,0.18%,1,1,0,0,0,-10,1,0,0,0,1,0,0,0,-5,-11
KE,6000,371372000,25235000,3154000,14485000,371372000,3151000,350656000,0,0.12,-270000,2884000,23600000,4792000,0.13,3154000,3000,24979000,1058000,13427000,374256000,3154000,3000,9115000,-52954000,5226000,5226000,45474000,-2254000,45474000,-52954000,-2254000,9192000,6038000,0,9192000,6038000,343727000,127023000,275674000,547758000,257571000,0,1149056000,183386000,547758000,216704000,782694000,1149056000,366362000,90688000,335272000,601298000,264036000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.02,24554663,0.06305844128083452,0.8427386601684409,150.16666666666666,0.8077929071962435,1.097743894201454,442475027.26,2.277080357376639,0,0.27448618692213433,0.5758017226585463,0.5758017226585463,0,-9.361997226074896,1.209,N/A,442475027.26,1.1822790476572185,Industrials,Electrical Equipment & Parts,65410,EQUITY,1178688.2,0.67%,0,0,0,0,0,-10,1,0,0,0,1,0,0,0,-4,-12
MITK,0,172992000,47468000,3278000,169852000,169852000,3278000,N/A,0,0.07,-4187000,-909000,N/A,N/A,0.07,3278000,0,46560000,135210000,N/A,172083000,3278000,N/A,2231000,-25882000,28746000,28746000,31688000,34552000,31688000,-25882000,34543000,15213000,15213000,0,15213000,11935000,42147000,24587000,2564000,214801000,156805000,0,413753000,180537000,214801000,7236000,185051000,413753000,228702000,226138000,N/A,198952000,N/A,6119000,34642000,N/A,N/A,-10435000,N/A,N/A,N/A,N/A,N/A,N/A,6248000,N/A,N/A,4514000,N/A,N/A,N/A,10324000,-9000,N/A,N/A,N/A,N/A,154108000,2697000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.37,45243715,0,1.9048947310309559,133.85714285714283,1.9736109680588076,0.92621542730248,423933609.54999995,4.390609058770494,4514000,0.7922601165429616,1.5260636589215135,1.5071402955429474,Infinity,460.6160616061606,1.083,N/A,422116609.54999995,2.4529826278598117,Technology,Software - Application,203942,EQUITY,1910936.5399999998,0.75%,0,0,0,0,0,-10,1,0,0,0,0,1,0,0,-4,-12
