Ticker,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,diluted_earnings_per_share,net_income_loss_attributable_to_parent,income_tax_expense_benefit,income_loss_from_equity_method_investments,revenues,diluted_average_shares,benefits_costs_expenses,preferred_stock_dividends_and_other_adjustments,income_loss_from_continuing_operations_before_tax,costs_and_expenses,operating_expenses,participating_securities_distributed_and_undistributed_earnings_loss_basic,basic_earnings_per_share,interest_expense_operating,basic_average_shares,net_income_loss_attributable_to_noncontrolling_interest,income_loss_from_continuing_operations_after_tax,net_income_loss,operating_income_loss,income_loss_before_equity_method_investments,net_income_loss_available_to_common_stockholders_basic,net_cash_flow_from_operating_activities_continuing,net_cash_flow,exchange_gains_losses,net_cash_flow_from_financing_activities_continuing,net_cash_flow_from_investing_activities_continuing,net_cash_flow_from_operating_activities,net_cash_flow_from_investing_activities,net_cash_flow_from_financing_activities,net_cash_flow_continuing,noncurrent_liabilities,equity_attributable_to_noncontrolling_interest,noncurrent_assets,equity_attributable_to_parent,liabilities,current_liabilities,long_term_debt,assets,equity,liabilities_and_equity,current_assets,noncurrent_prepaid_expenses,fixed_assets,accounts_payable,other_noncurrent_assets,inventory,other_current_liabilities,other_current_assets,cost_of_revenue,gross_profit,income_tax_expense_benefit_deferred,provision_for_loan_lease_and_other_losses,common_stock_dividends,intangible_assets,wages,depreciation_and_amortization,other_operating_expenses,income_tax_expense_benefit_current,research_and_development,nonoperating_income_loss,selling_general_and_administrative_expenses,interest_income_expense_after_provision_for_losses,interest_income_expense_operating_net,interest_and_dividend_income_operating,noninterest_expense,accounts_receivable,other_noncurrent_liabilities,prepaid_expenses,noninterest_income,other_comprehensive_income_loss_attributable_to_parent,commitments_and_contingencies,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
OFSSH,-1028000,-1028000,0,0,1.42,-1028000,N/A,N/A,19120000,26796156,0,0,19120000,0,N/A,0,1.42,18286000,26796156,0,-1028000,-1028000,N/A,N/A,-1028000,95393000,0,N/A,-96642000,1249000,95393000,1249000,-96642000,0,0,0,0,154172000,253703000,253703000,249100000,407875000,154172000,407875000,407875000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.7,N/A,0,-5.376569037656904,15.985915492957746,NaN,1.6455841527644448,NaN,1.6076869410294714,407875000,-0.25203800183879865,-0.6667877435591417,-0.25491479696086017,NaN,0,,N/A,NaN,NaN,N/A,N/A,N/A,N/A,N/A,6.26%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,8
VPG,-194000,-117000,-77000,-10028000,0.74,9911000,7730000,N/A,306522000,13386000,288958000,0,17564000,288958000,108668000,0,0.74,N/A,13353000,-77000,9834000,9834000,16864000,N/A,9911000,19815000,-4693000,-2208000,-9399000,-12901000,19815000,-12901000,-9399000,-2485000,76036000,-107000,213986000,321967000,129075000,53039000,N/A,450935000,321860000,450935000,236949000,N/A,79501000,N/A,92670000,84160000,34493000,152789000,180990000,125532000,69000,N/A,N/A,41815000,18546000,N/A,N/A,7661000,20000000,700000,107505000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.54,13257340,0.4095366727347466,3.2082525887212014,31.81081081081081,0.9696072317156528,0.40102839743988067,312077783.59999996,4.467448481306208,0,2.1808021111690152,3.055365686944634,3.055365686944634,15.932192588344007,44.010475973582324,1.081,N/A,312077783.59999996,1.01812523603526,Technology,Scientific & Technical Instruments,27791,EQUITY,654200.14,3.14%,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,7
MEC,12224000,12224000,0,0,0.5900000000000001,12224000,2100000,N/A,608879000,62912375,594554000,0,14325000,594554000,51654000,0,0.5800000000000001,N/A,41257810,0,12224000,12224000,26862000,N/A,12224000,78514000,-2127000,N/A,-64518000,-16123000,78514000,-16123000,-64518000,-2127000,156269000,0,339748000,238356000,227646000,71377000,N/A,466002000,238356000,466002000,126254000,N/A,163713000,47990000,122568000,61173000,23387000,10736000,530363000,78516000,N/A,N/A,N/A,53467000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54345000,N/A,N/A,N/A,N/A,N/A,14.95,20644333,0.128951729325531,2.0076238464456813,25.338983050847453,1.2948395607830303,0.9550672103911796,308632778.34999996,1.7688330974963924,0,2.6231647074476077,5.128463306986189,5.128463306986189,0,14.659685863874344,0.912,N/A,308632778.34999996,0.5068868828617836,Industrials,Metal Fabrication,59557,EQUITY,890377.1499999999,3.95%,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,6
RLGT,N/A,N/A,N/A,-4763000,0.28,13921000,3413000,N/A,858700000,95671206,841123000,0,17577000,841123000,842201000,0,0.29,N/A,93758892,243000,14164000,14164000,16499000,N/A,13969000,21057000,-13373000,N/A,-4803000,-29627000,21057000,-29627000,-4803000,-13373000,64111000,99000,233893000,214449000,172213000,108102000,N/A,386761000,214548000,386761000,152868000,N/A,24946000,64346000,208947000,N/A,43756000,N/A,N/A,N/A,-458000,N/A,N/A,N/A,N/A,19048000,783367000,3871000,N/A,1078000,39786000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.76,47008523,0,1.6494701292651681,24.14285714285714,1.4811492788560134,0.8026781885638645,317777615.48,1.4141088971526892,152868000,3.662209995320107,6.601786080504129,6.601786080504129,NaN,19.41742049268931,0.865,N/A,164909615.48000002,0.19204566842902063,Industrials,Integrated Freight & Logistics,64822,EQUITY,438196.72,4.14%,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,5
CCLDP,3071000,3071000,0,3071000,-0.04,3122000,41000,N/A,28546000,16195363,25383000,3789000,3163000,25383000,25281000,3789000,-0.04,N/A,16195363,0,3122000,3122000,3265000,N/A,-667000,7068000,165000,-64000,-5166000,-1673000,7068000,-1673000,-5166000,229000,2256000,0,48032000,46508000,24186000,21930000,N/A,70694000,46508000,70694000,22662000,N/A,4894000,5567000,23032000,514000,13818000,22148000,N/A,N/A,0,N/A,N/A,20106000,2545000,3241000,21240000,30000,800000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.71,N/A,0,10.936733692986758,0,NaN,0.5200395630859207,NaN,1.0333789329685363,0,4.416216369140239,6.712823600240819,6.712823600240819,Infinity,1.2962377489724946,,N/A,NaN,NaN,Healthcare,Health Information Services,5015,EQUITY,98845.65000000001,N/A,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
VMD,3905000,3905000,0,0,0.1,3878000,1594000,96000,58004000,40779414,52505000,0,5499000,52505000,28743000,0,0.1,N/A,38870823,27000,3905000,3905000,5628000,5403000,3878000,12745000,2540000,N/A,-5236000,-4969000,12745000,-4969000,-5236000,2540000,6287000,1836000,121828000,124959000,42731000,36444000,N/A,169526000,126795000,169526000,47698000,N/A,74397000,N/A,46551000,4311000,31992000,43387000,23633000,34371000,-3507000,N/A,N/A,880000,4452000,348000,967000,N/A,757000,N/A,26671000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,7.84,38936562,0.592562581890904,6.732294324529343,78.39999999999999,2.4075290514610197,0.33700855711976024,305262646.08,1.3088025463725168,0,2.303481471868622,3.079774439055168,3.079774439055168,2.2024381018882195,28.987088561556646,1.506,N/A,305262646.08,5.26278611957796,Healthcare,Medical Devices,83288,EQUITY,652977.92,1.28%,1,1,0,0,0,0,0,0,0,0,1,1,0,1,-3,2
XOMAP,-17139000,-17139000,0,-17139000,-1.59,-17243000,0,N/A,7197000,11712000,0,1368000,7197000,22837000,22837000,1368000,-1.59,N/A,11712000,0,-17243000,-17243000,-15640000,N/A,-18611000,-8625000,-3104000,N/A,-4001000,9522000,-8625000,9522000,-4001000,-3104000,117397000,0,64319000,84809000,138531000,21134000,N/A,223340000,84809000,223340000,159021000,N/A,34000,1131000,64285000,N/A,20003000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22020000,N/A,817000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.8258,N/A,0,-239.58593858552172,0,NaN,1.633446921906873,NaN,7.524415633576228,159021000,-7.720515805498343,-20.331568583522973,-20.331568583522973,Infinity,0,,N/A,NaN,NaN,Healthcare,Biotechnology,106,EQUITY,2737.5348,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
XOMAO,-17139000,-17139000,0,-17139000,-1.59,-17243000,0,N/A,7197000,11712000,0,1368000,7197000,22837000,22837000,1368000,-1.59,N/A,11712000,0,-17243000,-17243000,-15640000,N/A,-18611000,-8625000,-3104000,N/A,-4001000,9522000,-8625000,9522000,-4001000,-3104000,117397000,0,64319000,84809000,138531000,21134000,N/A,223340000,84809000,223340000,159021000,N/A,34000,1131000,64285000,N/A,20003000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22020000,N/A,817000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.34,N/A,0,-239.58593858552172,0,NaN,1.633446921906873,NaN,7.524415633576228,159021000,-7.720515805498343,-20.331568583522973,-20.331568583522973,Infinity,0,,N/A,NaN,NaN,Healthcare,Biotechnology,366,EQUITY,9274.44,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
ARTNA,4411000,4411000,0,0,0.43,4411000,1681000,N/A,24544000,10291000,0,0,4411000,19825000,19825000,0,0.43,2167000,10287000,0,4411000,4411000,4719000,N/A,4411000,12594000,6998000,N/A,2726000,-8322000,12594000,-8322000,2726000,6998000,88136000,0,744564000,231986000,-231986000,21725000,N/A,775411000,231986000,775411000,30847000,N/A,3637000,7878000,740927000,N/A,13847000,N/A,N/A,N/A,-109000,46000,0.2897,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.09,10297945,0,17.971805736636245,72.30232558139535,0.3178122528159206,-1,320163110.05,1.419884925201381,30847000,0.5688596112255307,1.9014078435767676,1.9014078435767676,NaN,38.1092722738608,0.18,N/A,289316110.05,11.787651159142765,Utilities,Utilities - Regulated Water,21445,EQUITY,666725.05,1.38%,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-3,0
PDLB,6304000,6304000,0,6304000,0.1,2433000,638000,N/A,41293000,22612028,38222000,281000,3071000,38222000,38222000,281000,0.1,6825000,22446009,0,2433000,2433000,3071000,N/A,2152000,-14563000,52646000,N/A,163945000,-96736000,-14563000,-96736000,163945000,52646000,0,0,0,504589000,2511380000,2511380000,580421000,3015969000,504589000,3015969000,3015969000,N/A,16843000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,285000,789000,N/A,N/A,N/A,1224000,36998000,N/A,N/A,N/A,N/A,18234000,19023000,41293000,16314000,N/A,N/A,N/A,1151000,3871000,N/A,13.12,22664576,0,5.8920398130433735,131.2,0.5893097889965893,4.977080356488152,297359237.12,1.2009210075735253,3015969000,0.08067059044705036,0.4821746015073654,0.22423756463074074,NaN,20.77499185932921,0.558,N/A,-2138188762.88,-51.780901433172694,Financial Services,Banks - Regional,33139,EQUITY,434783.68,0.76%,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-4,-2
